time_s,time_min,depth_m,lead,tail,cement_total,spacer,flusher,mud
4.0,0.0667,6174.983,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,6165.277,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,6155.571,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,6145.865,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,6136.159,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,6126.453,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,6116.747,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,6107.041,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,6097.335,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,6087.629,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,6077.923,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,6068.217,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,6058.511,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,6048.805,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,6039.099,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,6029.393,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,6019.687,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,6009.981,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,6000.275,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,5990.569,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,5980.863,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,5971.157,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,5961.451,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,5951.745,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,5942.039,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,5932.333,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,5922.627,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,5912.921,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,5903.215,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,5893.509,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,5883.803,0.0,0.0,0.0,0.0,0.0,1.0
