well_id,cumulative_volume_m3,pump_strokes_100pct_efficiency,pump_strokes_96pct_efficiency,pump_strokes_95pct_efficiency,pump_strokes_92pct_efficiency,pump_strokes_90pct_efficiency,pump_pressure_mpa,flow_rate_m3_per_min,notes,data_type,source_file,source_location,confidence
ht1_001,210,11134.676564156947,11602.209944751381,11718.750000000002,12103.746397694524,12369.676621311186,8-7,2,,field_measured,205172.xlsx,Sheet1 row 25,high
ht1_001,220,11664.89925768823,12154.696132596684,12276.785714285716,12680.115273775216,12958.708841373624,,,,field_measured,205172.xlsx,Sheet1 row 26,high
ht1_001,230,12195.121951219513,12707.182320441987,12834.82142857143,13256.484149855907,13547.741061436061,,,,field_measured,205172.xlsx,Sheet1 row 27,high
ht1_001,240,12725.344644750796,13259.668508287292,13392.857142857145,13832.853025936598,14136.7732814985,,,,field_measured,205172.xlsx,Sheet1 row 28,high
ht1_001,250,13255.56733828208,13812.154696132595,13950.892857142859,14409.22190201729,14725.805501560937,,,,field_measured,205172.xlsx,Sheet1 row 29,high
ht1_001,260,13785.790031813363,14364.6408839779,14508.928571428572,14985.590778097981,15314.837721623373,,,,field_measured,205172.xlsx,Sheet1 row 30,high
ht1_001,270,14316.012725344646,14917.127071823203,15066.964285714286,15561.959654178674,15903.86994168581,5-6,1.5,,field_measured,205172.xlsx,Sheet1 row 31,high
ht1_001,280,14846.23541887593,15469.613259668507,15625.000000000002,16138.328530259365,16492.90216174825,,,,field_measured,205172.xlsx,Sheet1 row 32,high
ht1_001,290,15376.458112407212,16022.09944751381,16183.035714285716,16714.697406340056,17081.934381810686,,,,field_measured,205172.xlsx,Sheet1 row 33,high
ht1_001,300,15906.680805938495,16574.585635359115,16741.07142857143,17291.06628242075,17670.966601873122,,,,field_measured,205172.xlsx,Sheet1 row 34,high
ht1_001,310,16436.90349946978,17127.07182320442,17299.107142857145,17867.43515850144,18259.998821935562,,,,field_measured,205172.xlsx,Sheet1 row 35,high
ht1_001,315,16702.01484623542,17403.31491712707,17578.125,18155.619596541786,18554.51493196678,2-5,"1
（钻井液）",,field_measured,205172.xlsx,Sheet1 row 36,high
ht1_001,320,16967.126193001062,17679.55801104972,17857.14285714286,18443.804034582132,18849.031041997998,,,,field_measured,205172.xlsx,Sheet1 row 37,high
ht1_001,325,17232.237539766702,17955.801104972375,18136.160714285717,18731.988472622477,19143.547152029216,,清水,,field_measured,205172.xlsx,Sheet1 row 38,high
ht1_001,330,17497.348886532345,18232.044198895026,18415.178571428572,19020.172910662823,19438.063262060437,,,,field_measured,205172.xlsx,Sheet1 row 39,high
ht1_001,335,17762.46023329799,18508.287292817677,18694.19642857143,19308.357348703168,19732.579372091655,,,,field_measured,205172.xlsx,Sheet1 row 40,high
ht1_001,336,17815.482502651113,18563.53591160221,18750,19365.99423631124,19791.4825940979,,,,field_measured,205172.xlsx,Sheet1 row 41,high
ht1_001,337,17868.504772004242,18618.78453038674,18805.803571428572,19423.63112391931,19850.385816104143,,,,field_measured,205172.xlsx,Sheet1 row 42,high
ht1_001,338,17921.52704135737,18674.033149171268,18861.607142857145,19481.268011527376,19909.289038110386,,,,field_measured,205172.xlsx,Sheet1 row 43,high
ht1_001,339,17974.5493107105,18729.2817679558,18917.410714285717,19538.904899135447,19968.19226011663,,,,field_measured,205172.xlsx,Sheet1 row 44,high
ht1_001,340,18027.571580063628,18784.53038674033,18973.214285714286,19596.541786743514,20027.095482122873,,,,field_measured,205172.xlsx,Sheet1 row 45,high
ht1_001,341,18080.593849416757,18839.77900552486,19029.01785714286,19654.178674351584,20085.998704129117,,,,field_measured,205172.xlsx,Sheet1 row 46,high
ht1_001,342,18133.616118769885,18895.02762430939,19084.82142857143,19711.815561959655,20144.90192613536,,,,field_measured,205172.xlsx,Sheet1 row 47,high
ht1_001,343,18186.638388123014,18950.276243093922,19140.625,19769.45244956772,20203.805148141604,,,,field_measured,205172.xlsx,Sheet1 row 48,high
ht1_001,344,18239.660657476143,19005.52486187845,19196.428571428572,19827.089337175792,20262.708370147848,,,,field_measured,205172.xlsx,Sheet1 row 49,high
ht1_001,345,18292.68292682927,19060.77348066298,19252.232142857145,19884.72622478386,20321.61159215409,,,,field_measured,205172.xlsx,Sheet1 row 50,high
ht1_001,346,18345.7051961824,19116.022099447513,19308.035714285717,19942.36311239193,20380.514814160335,,,,field_measured,205172.xlsx,Sheet1 row 51,high
ht1_001,347,18398.727465535525,19171.27071823204,19363.839285714286,20000,20439.41803616658,,,,field_measured,205172.xlsx,Sheet1 row 52,high
ht1_001,348,18451.749734888654,19226.519337016573,19419.64285714286,20057.636887608067,20498.321258172822,,,,field_measured,205172.xlsx,Sheet1 row 53,high
ht1_001,349,18504.772004241782,19281.767955801104,19475.44642857143,20115.273775216137,20557.224480179066,,,,field_measured,205172.xlsx,Sheet1 row 54,high
ht1_001,350,18557.79427359491,19337.016574585632,19531.25,20172.910662824208,20616.12770218531,,,,field_measured,205172.xlsx,Sheet1 row 55,high
