timestamp_utc,density_mass_g_cm3,pump_press_a_mpa,pump_press_b_mpa,pump_rate_all_m3_min,pump_total_all_m3,water_rate_m3_min
2025-08-14T01:22:09.984000,1.617839,7.964947,0,0.56385,4321.513,0.302585
2025-08-14T01:22:15.082000,1.621094,7.943997,0,0.56385,4321.559,0.302585
2025-08-14T01:22:25.190000,1.626338,7.978985,0,0.56385,4321.652,0.302585
2025-08-14T01:22:30.288000,1.626519,7.98597,0,0.56385,4321.698,0.302585
2025-08-14T01:22:35.299000,1.63104,8.061886,0,0.56385,4321.745,0.302585
2025-08-14T01:22:45.408000,1.637731,7.95872,0,0.56385,4321.847,0.302585
2025-08-14T01:22:55.517000,1.642072,9.14253,0,0.56385,4321.939,0.302585
2025-08-14T01:23:00.614000,1.648221,9.098129,0,0.56385,4321.986,0.302585
2025-08-14T01:23:05.626000,1.645508,9.066343,0,0.56385,4322.032,0.302585
2025-08-14T01:23:10.723000,1.638636,9.065468,0,0.56385,4322.079,0.302585
2025-08-14T01:23:15.734000,1.630498,8.983107,0,0.56385,4322.125,0.302585
2025-08-14T01:23:20.832000,1.624711,8.96306,0,0.56385,4322.171,0.302585
2025-08-14T01:23:25.843000,1.623987,8.920601,0,0.56385,4322.218,0.302585
2025-08-14T01:23:35.952000,1.614222,8.810925,0,0.56385,4322.311,0.302585
2025-08-14T01:23:40.963000,1.606807,8.789581,0,0.56385,4322.357,0.302585
2025-08-14T01:23:46.061000,1.604094,8.741725,0,0.56385,4322.403,0.302585
2025-08-14T01:23:51.072000,1.597765,8.712531,0,0.56385,4322.45,0.302585
2025-08-14T01:23:56.170000,1.597765,8.681664,0,0.56385,4322.496,0.302585
2025-08-14T01:24:01.181000,1.591074,8.652159,0,0.56385,4322.542,0.302585
2025-08-14T01:24:06.278000,1.585829,8.666401,0,0.56385,4322.589,0.302585
2025-08-14T01:24:11.290000,1.57968,8.614044,0,0.56385,4322.635,0.302585
2025-08-14T01:24:16.387000,1.577148,8.561475,0,0.56385,4322.691,0.302585
2025-08-14T01:24:21.398000,1.576244,8.480494,0,0.56385,4322.737,0.302585
2025-08-14T01:24:26.496000,1.581127,8.534374,0,0.56385,4322.784,0.302585
2025-08-14T01:24:31.507000,1.588542,8.509293,0,0.56385,4322.83,0.302585
2025-08-14T01:24:36.605000,1.59469,8.503755,0,0.56385,4322.876,0.302585
2025-08-14T01:24:41.616000,1.602828,8.606504,0,0.56385,4322.923,0.302585
2025-08-14T01:24:46.714000,1.601563,8.601139,0,0.56385,4322.969,0.302585
2025-08-14T01:24:51.725000,1.60753,8.639091,0,0.56385,4323.016,0.302585
2025-08-14T01:24:56.822000,1.607892,8.725657,0,0.56385,4323.062,0.302585
2025-08-14T01:25:01.834000,1.621998,8.709689,0,0.56385,4323.108,0.302585
2025-08-14T01:25:06.931000,1.614041,8.69072,0,0.56385,4323.155,0.302585
2025-08-14T01:25:11.942000,1.622902,8.728453,0,0.56385,4323.201,0.302585
2025-08-14T01:25:17.040000,1.627785,8.714088,0,0.56385,4323.248,0.302585
2025-08-14T01:25:22.051000,1.629051,8.79882,0,0.56385,4323.294,0.302585
2025-08-14T01:25:27.149000,1.628689,8.784854,0,0.56385,4323.34,0.302585
2025-08-14T01:25:32.160000,1.634838,8.77876,0,0.56385,4323.387,0.302585
2025-08-14T01:25:37.258000,1.630498,8.751396,0,0.56385,4323.433,0.302585
2025-08-14T01:25:42.269000,1.637551,8.777905,0,0.56385,4323.479,0.302585
2025-08-14T01:25:47.366000,1.635923,8.824001,0,0.56385,4323.535,0.302585
2025-08-14T01:25:52.378000,1.633753,8.807586,0,0.56385,4323.582,0.302585
2025-08-14T01:25:57.475000,1.627423,8.732042,0,0.56385,4323.628,0.302585
2025-08-14T01:26:02.486000,1.628327,8.696567,0,0.56385,4323.674,0.302585
2025-08-14T01:26:07.584000,1.622721,8.660637,0,0.56385,4323.721,0.302585
2025-08-14T01:26:12.595000,1.617839,8.677088,0,0.56385,4323.767,0.302585
2025-08-14T01:26:17.693000,1.616392,8.638589,0,0.56385,4323.813,0.302585
2025-08-14T01:26:22.704000,1.611509,8.606176,0,0.56385,4323.86,0.302585
2025-08-14T01:26:27.802000,1.608435,8.63511,0,0.56385,4323.906,0.302585
2025-08-14T01:26:32.813000,1.620913,8.579874,0,0.56385,4323.953,0.302585
2025-08-14T01:26:37.910000,1.620009,8.634883,0,0.56385,4323.999,0.302585
2025-08-14T01:26:42.922000,1.625434,8.695665,0,0.56385,4324.045,0.302585
2025-08-14T01:26:48.019000,1.630498,8.613705,0,0.56385,4324.092,0.302585
2025-08-14T01:26:53.030000,1.628689,8.659756,0,0.56385,4324.138,0.302585
2025-08-14T01:26:58.128000,1.634115,8.647001,0,0.56385,4324.185,0.302585
2025-08-14T01:27:03.139000,1.636646,8.593195,0,0.56385,4324.231,0.302585
2025-08-14T01:27:08.237000,1.635742,8.649746,0,0.56385,4324.277,0.302585
2025-08-14T01:27:13.248000,1.632306,8.700861,0,0.56385,4324.324,0.302585
2025-08-14T01:27:18.346000,1.627604,8.617497,0,0.56385,4324.37,0.302585
2025-08-14T01:27:23.357000,1.625977,8.594873,0,0.56385,4324.426,0.302585
2025-08-14T01:27:28.454000,1.614222,8.60397,0,0.56385,4324.472,0.302585
2025-08-14T01:27:33.466000,1.613137,8.556967,0,0.56385,4324.519,0.302585
2025-08-14T01:27:38.563000,1.612413,8.48707,0,0.56385,4324.565,0.302585
2025-08-14T01:27:43.574000,1.604637,8.526593,0,0.56385,4324.611,0.302585
2025-08-14T01:27:48.672000,1.600116,8.461885,0,0.56385,4324.658,0.302585
2025-08-14T01:27:53.683000,1.598488,8.410564,0,0.56385,4324.704,0.302585
2025-08-14T01:27:58.781000,1.597584,8.447009,0,0.56385,4324.75,0.302585
2025-08-14T01:28:03.792000,1.595233,8.44305,0,0.56385,4324.797,0.302585
2025-08-14T01:28:08.803000,1.593786,8.422611,0,0.56385,4324.843,0.302585
2025-08-14T01:28:13.901000,1.599573,8.460485,0,0.56385,4324.89,0.302585
2025-08-14T01:28:18.998000,1.60102,8.304434,0,0.56385,4324.936,0.302585
2025-08-14T01:28:24.010000,1.606084,8.388963,0,0.56385,4324.982,0.302585
2025-08-14T01:28:29.107000,1.605903,8.432211,0,0.56385,4325.029,0.302585
2025-08-14T01:28:34.118000,1.609701,8.421561,0,0.56385,4325.075,0.302585
2025-08-14T01:28:39.216000,1.611871,8.385451,0,0.56385,4325.122,0.302585
2025-08-14T01:28:44.227000,1.608254,8.416156,0,0.56385,4325.168,0.302585
2025-08-14T01:28:54.336000,1.602828,8.460522,0,0.56385,4325.261,0.302585
2025-08-14T01:28:59.434000,1.606626,8.440201,0,0.56385,4325.307,0.302585
2025-08-14T01:29:04.445000,1.610966,8.39538,0,0.56385,4325.363,0.302585
2025-08-14T01:29:09.456000,1.610062,8.402801,0,0.56385,4325.409,0.302585
2025-08-14T01:29:14.554000,1.609158,8.386836,0,0.56385,4325.456,0.302585
2025-08-14T01:29:19.565000,1.606807,8.358986,0,0.56385,4325.502,0.302585
2025-08-14T01:29:24.662000,1.611871,8.386362,0,0.56385,4325.548,0.302585
2025-08-14T01:29:29.674000,1.612051,8.418407,0,0.56385,4325.595,0.302585
2025-08-14T01:29:34.771000,1.610424,8.389457,0,0.56385,4325.641,0.302585
2025-08-14T01:29:39.782000,1.606626,8.348953,0,0.56385,4325.688,0.302585
2025-08-14T01:29:44.880000,1.609701,8.375335,0,0.56385,4325.734,0.302585
2025-08-14T01:29:49.891000,1.609701,8.356478,0,0.56385,4325.78,0.302585
2025-08-14T01:29:54.989000,1.612413,8.356343,0,0.56385,4325.827,0.302585
2025-08-14T01:30:00,1.607711,8.373957,0,0.56385,4325.873,0.302585
2025-08-14T01:30:05.098000,1.608615,8.349172,0,0.56385,4325.919,0.302585
2025-08-14T01:30:10.109000,1.608435,8.333676,0,0.56385,4325.966,0.318723
2025-08-14T01:30:15.206000,1.606445,8.362569,0,0.56385,4326.012,0.330826
2025-08-14T01:30:20.218000,1.611509,8.32399,0,0.56385,4326.059,0.330826
2025-08-14T01:30:25.315000,1.614041,8.357419,0,0.56385,4326.105,0.330826
2025-08-14T01:30:30.326000,1.615849,8.39821,0,0.56385,4326.151,0.330826
2025-08-14T01:30:35.424000,1.621998,8.396092,0,0.56385,4326.207,0.330826
2025-08-14T01:30:40.435000,1.62037,8.338604,0,0.56385,4326.253,0.330826
