time_s,time_min,stage,bulk_cement_fill,effective_efficiency,target_interval_efficiency,cbl_eval_interval_efficiency,cbl_quality_proxy,front_wide_m,front_narrow_m,front_mid_m,channeling_index,mixing_index,instability_proxy,instability_index,mean_wall_mud,mean_cement,mean_mud
12024.0,200.4,替浆慢速段(体积限制停泵),0.7244968645410728,0.7099244218685828,0.9715259826687482,0.7760949859936335,0.34743537336028024,2468.0,59.35070140280561,2344.3527054108217,0.9759519038072199,0.16023578087782098,12.700837478444823,0.9211468088850652,0.20875004116704632,0.6945915943292864,0.18450335120667263
12028.0,200.46666666666667,替浆慢速段(体积限制停泵),0.7244982172573331,0.7099382201756383,0.9715343602940396,0.7761098777182334,0.3474419311743654,2468.0,59.35070140280561,2344.3527054108217,0.9759519038072199,0.16023634723862698,12.700840182436929,0.9211468515287349,0.2087218601638788,0.6945940841243228,0.18449708123059236
12032.0,200.53333333333333,替浆慢速段(体积限制停泵),0.7244996082584965,0.7099520074906108,0.9715427289584813,0.7761247575688173,0.34744847694399295,2468.0,59.35070140280561,2344.3527054108217,0.9759519038072199,0.16023694860974758,12.700843053579751,0.9211468968084522,0.2086937008798697,0.6945966171678782,0.1844907570149685
12036.0,200.6,替浆慢速段(体积限制停泵),0.7245010400259677,0.7099657839879913,0.9715510886736588,0.7761396257495201,0.3474550115731865,2468.0,59.35070140280561,2344.3527054108217,0.9759519038072199,0.1602375807584582,12.700846071664875,0.9211469444055134,0.2086655632317429,0.6945991962947288,0.18448437488170877
12040.0,200.66666666666666,替浆慢速段(体积限制停泵),0.7245025150620302,0.70997954985236,0.9715594394511424,0.7761544824764269,0.347461536239693,2468.0,59.35070140280561,2344.3527054108217,0.9759519038072199,0.1602382380551892,12.700849209814889,0.9211469938960413,0.20863744713243462,0.6946018243634888,0.184477931123025
12044.0,200.73333333333332,替浆慢速段(体积限制停泵),0.7245040358338792,0.7099933052774903,0.9715677813024894,0.776169327976497,0.34746805244595075,2468.0,59.35070140280561,2344.3527054108217,0.9759519038072199,0.16023891320580724,12.700852433205213,0.9211470447308283,0.20860935249114362,0.6946045041927926,0.1844714220852563
12048.0,200.8,替浆慢速段(体积限制停泵),0.724505604693666,0.7100070504645107,0.9715761142392434,0.7761841624853754,0.34747456206998506,2468.0,59.35070140280561,2344.3527054108217,0.9759519038072199,0.16023959698172052,12.700855697775522,0.9211470962150148,0.20858127921350328,0.6946072384701426,0.18446484428843227
12052.0,200.86666666666667,替浆慢速段(体积限制停泵),0.7245072237697665,0.710020785618832,0.9715844382729335,0.7761989862437652,0.347481067411847,2468.0,59.35070140280561,2344.3527054108217,0.9759519038072199,0.1602402779698556,12.700858949036066,0.9211471474892651,0.20855322720191907,0.6946100296279375,0.18445819458878035
12056.0,200.93333333333334,替浆慢速段(体积限制停泵),0.7245088948244869,0.7100345109455084,0.9715927534150745,0.7762137994919512,0.3474875712287986,2468.0,59.35070140280561,2344.3527054108217,0.9759519038072199,0.16024094237693715,12.700862121133222,0.921147197515031,0.20852519635612302,0.694612879681238,0.18445147039132223
12060.0,201.0,替浆慢速段(体积限制停泵),0.7245106190743659,0.7100482266426813,0.9716010596771684,0.7762286024620693,0.34749407674957533,2468.0,59.35070140280561,2344.3527054108217,0.9759519038072199,0.16024157393745717,12.700865136410133,0.9211472450676237,0.20849718657400398,0.6946157900228898,0.18444466991830089
12064.0,201.06666666666666,替浆慢速段(体积限制停泵),0.7245123969715912,0.7100619328927659,0.9716093570707026,0.776243395367714,0.34750058765493974,2468.0,59.35070140280561,2344.3527054108217,0.9759519038072199,0.1602421539909172,12.700867905775455,0.9211472887420286,0.20846919775277392,0.6946187611743102,0.18443779253566478
12068.0,201.13333333333333,替浆慢速段(体积限制停泵),0.7245142279494307,0.7100756298511579,0.9716176456071512,0.7762581783906259,0.34750710800905465,2468.0,59.35070140280561,2344.3527054108217,0.9759519038072199,0.16024266180825808,12.700870330261873,0.9211473269774848,0.20844122979052748,0.694621792495247,0.18443083913328653
12072.0,201.2,替浆慢速段(体积限制停泵),0.7245161101415927,0.7100893176324516,0.9716259252979742,0.7762729516644434,0.3475136421249911,2468.0,59.35070140280561,2344.3527054108217,0.9759519038072199,0.16024307525426723,12.700872304188621,0.9211473581073587,0.20841328258823633,0.6946248818638143,0.18442381254411985
12076.0,201.26666666666668,替浆慢速段(体积限制停泵),0.7245180400954242,0.7101029962945534,0.9716341961546177,0.7762877152559783,0.3475201943496086,2468.0,59.35070140280561,2344.3527054108217,0.9759519038072199,0.16024337186381232,12.700873720299802,0.9211473804401771,0.20838535605219158,0.6946280253495004,0.18441671797259707
12080.0,201.33333333333334,替浆慢速段(体积限制停泵),0.724520012511438,0.710116665821649,0.9716424581885147,0.7763024691451348,0.34752676876008787,2468.0,59.35070140280561,2344.3527054108217,0.9759519038072199,0.1602435303746574,12.700874477082525,0.9211473923750363,0.20835745009685552,0.6946312169161963,0.18440956338377637
12084.0,201.4,替浆慢速段(体积限制停泵),0.7245220200552596,0.7101303261077097,0.9716507114110834,0.7763172132054696,0.34753336877835517,2468.0,59.35070140280561,2344.3527054108217,0.9759519038072199,0.16024353268896474,12.700874488131786,0.9211473925492889,0.2083295646480161,0.6946344482077909,0.18440235978446165
12088.0,201.46666666666667,替浆慢速段(体积限制停泵),0.7245240532992728,0.7101439769430437,0.9716589558337294,0.7763319471883364,0.3475399967309953,2468.0,59.35070140280561,2344.3527054108217,0.9759519038072199,0.16024336612665158,12.700873692908715,0.9211473800082053,0.20830169964604447,0.6946377084816353,0.18439512131082503
12092.0,201.53333333333333,替浆慢速段(体积限制停泵),0.7245261008547005,0.710157618007029,0.9716671914678431,0.776346670714321,0.3475466534085856,2468.0,59.35070140280561,2344.3527054108217,0.9759519038072199,0.16024302569849677,12.700872067593131,0.9211473543761227,0.2082738550489662,0.6946409847591295,0.18438786503188753
12096.0,201.6,替浆慢速段(体积限制停泵),0.7245281497442708,0.7101712488703686,0.9716754183248033,0.7763613832758991,0.34755333770309893,2468.0,59.35070140280561,2344.3527054108217,0.9759519038072199,0.16024251599880582,12.700869634119758,0.9211473159989507,0.2082460308349706,0.6946442622506024,0.1843806103940338
