depth_md_m,quality_proxy,quality_proxy_pct,simulated_effective_efficiency,simulated_minus_cbl_proxy
6930,0.952,95.2,0.949230017298289,-0.0027699827017109158
6940,0.952,95.2,0.9493565459124357,-0.0026434540875642787
6950,0.959,95.9,0.9494892762775143,-0.009510723722485626
6960,0.944,94.4,0.9496378095852431,0.005637809585243181
6970,0.937,93.7,0.9498222809633543,0.012822280963354249
6980,0.941,94.1,0.9500793532513773,0.00907935325137732
6990,0.937,93.7,0.9504769100696255,0.01347691006962548
7000,0.93,93.0,0.9511228398629396,0.021122839862939502
7010,0.948,94.8,0.9521482760523949,0.0041482760523949835
7020,0.948,94.8,0.9536138785221598,0.0056138785221598875
7030,0.963,96.3,0.9553848850298532,-0.007615114970146775
7040,0.963,96.3,0.957171534487924,-0.005828465512075942
7050,0.956,95.6,0.9587426784821882,0.002742678482188232
7060,0.944,94.4,0.9600183193140265,0.01601831931402653
7070,0.941,94.1,0.9610183913081329,0.020018391308132988
7080,0.948,94.8,0.9617938767921701,0.013793876792170146
7090,0.952,95.2,0.9623954145637831,0.010395414563783123
7100,0.937,93.7,0.9628677881066443,0.02586778810664425
7110,0.959,95.9,0.9632467491007628,0.004246749100762837
7120,0.952,95.2,0.9635575252330973,0.011557525233097388
7130,0.963,96.3,0.9638186803865926,0.0008186803865926073
7140,0.952,95.2,0.964042264137898,0.012042264137897996
7150,0.956,95.6,0.9642365515268474,0.008236551526847435
7160,0.948,94.8,0.9644080166187088,0.01640801661870883
7170,0.956,95.6,0.9645602102742724,0.00856021027427245
7180,0.941,94.1,0.9646966317494646,0.02369663174946468
7190,0.922,92.2,0.964821142561451,0.042821142561450976
7200,0.944,94.4,0.9649377921343882,0.02093779213438829
7210,0.937,93.7,0.9650488729956789,0.02804887299567882
7220,0.952,95.2,0.9651572112964296,0.01315721129642966
7230,0.959,95.9,0.9652658166903557,0.006265816690355752
7240,0.956,95.6,0.9653770324115292,0.009377032411529207
7250,0.956,95.6,0.9654928249098261,0.00949282490982617
7260,0.941,94.1,0.9656166233888005,0.02461662338880055
7270,0.956,95.6,0.9657526757909002,0.009752675790900223
7280,0.941,94.1,0.9659071366216028,0.02490713662160282
7290,0.956,95.6,0.9660900731452168,0.010090073145216816
7300,0.963,96.3,0.966315018280303,0.003315018280303006
7310,0.956,95.6,0.9666016435429873,0.010601643542987316
7320,0.963,96.3,0.9669781569828965,0.003978156982896497
7330,0.963,96.3,0.96748613860232,0.004486138602320056
7340,0.959,95.9,0.9682103691152719,0.009210369115271955
7350,0.952,95.2,0.9694305269562784,0.017430526956278447
7360,0.937,93.7,0.9721666946622345,0.03516669466223443
7370,0.941,94.1,0.9768802259435495,0.03588022594354956
7380,0.952,95.2,0.9798009292465374,0.02780092924653743
7390,0.93,93.0,0.9811087996028751,0.051108799602875066
