time_s,time_min,stage,bulk_cement_fill,effective_efficiency,target_interval_efficiency,cbl_eval_interval_efficiency,front_wide_m,front_narrow_m,front_mid_m,channeling_index,mixing_index,instability_proxy,instability_index,mean_wall_mud,mean_cement,mean_mud
8224.0,137.06666666666666,井浆中替1,0.6299430932567776,0.6299430932567776,0.9999999991237918,0.7648563762051865,1600.507246492986,684.6100360721443,1535.746837675351,0.3967935871741768,0.21925664066890208,3.0059912396472184,0.4518455824785448,0.0,0.6029129688442286,0.04756781993602407
8228.0,137.13333333333333,井浆中替1,0.6308802747614616,0.6308802747614616,0.9999999991624433,0.7659319303372847,1600.507246492986,684.6100360721443,1535.746837675351,0.3967935871741768,0.2194892747552622,3.007398964973222,0.4519998909263556,0.0,0.603795214717153,0.04750526869961855
8232.0,137.2,井浆中替1,0.6318169926994277,0.6318169926994277,0.9999999991994092,0.7670066704585368,1605.13298997996,689.2357795591183,1540.3725811623246,0.3967935871741768,0.21972033120781947,3.0087933198247465,0.4521526909417657,0.0,0.6046770922442564,0.047442394803406014
8236.0,137.26666666666668,井浆中替1,0.632753250818515,0.632753250818515,0.9999999992347623,0.768080603516297,1605.13298997996,689.2357795591183,1540.3725811623246,0.3967935871741768,0.21994980733817562,3.010177937922124,0.45230438179715027,0.0,0.6055586056207064,0.04737918092164828
8240.0,137.33333333333334,井浆中替1,0.6336890444907245,0.6336890444907245,0.9999999992685724,0.7691537258448475,1609.758733466934,689.2357795591183,1544.9983246492986,0.398797595190208,0.22017770152931537,3.0267656727685393,0.4541183770644046,0.0,0.606439752596646,0.0473156068993031
8244.0,137.4,井浆中替1,0.6346243754575259,0.6346243754575259,0.9999999993009058,0.7702260411864561,1609.758733466934,689.2357795591183,1544.9983246492986,0.398797595190208,0.2204040107206601,3.0281461289859544,0.45426906939710154,0.0,0.6073205350136741,0.04725165536171825
8248.0,137.46666666666667,井浆中替1,0.6355592397390197,0.6355592397390197,0.9999999993318266,0.7712975457164563,1614.384476953908,689.2357795591183,1549.6240681362726,0.4008016032062392,0.22062873604923833,3.0447479822730315,0.45607809338880945,0.0,0.6082009504257939,0.04718730666912906
8252.0,137.53333333333333,井浆中替1,0.6364936407613131,0.6364936407613131,0.9999999993613954,0.7723682440041321,1614.384476953908,689.2357795591183,1549.6240681362726,0.4008016032062392,0.22085187716759608,3.04613228046349,0.45622866256679817,0.0,0.6090810021562638,0.04712254237724374
8256.0,137.6,井浆中替1,0.6374275749060363,0.6374275749060363,0.9999999993896709,0.7734381311165657,1619.0102204408818,689.2357795591183,1554.2498116232466,0.4028056112222703,0.221073436544811,3.062754807344555,0.45803343165701127,0.0,0.6099606877378791,0.04705734281755516
8260.0,137.66666666666666,井浆中替1,0.6383610466227629,0.6383610466227629,0.9999999994167084,0.774507210915147,1619.0102204408818,689.2357795591183,1554.2498116232466,0.4028056112222703,0.22129341849296305,3.0641484787667377,0.4581844752691323,0.0,0.6108400106468603,0.04699169222705882
