井深_m,水泥平均浓度,前置液隔离液平均浓度,平均有效顶替效率,钻井液平均浓度,宽边有效效率,中线有效效率,窄边有效效率,宽边水泥浓度,中线水泥浓度,窄边水泥浓度,宽边前置液隔离液浓度,中线前置液隔离液浓度,窄边前置液隔离液浓度,环空间隙_m,偏心度指标,居中度
7669.395683453237,0.09418807520817929,0.0,0.06658023273266155,0.9058119247918209,7.31649743324956e-169,0.21782900710940128,1.8396394706442354e-22,7.366755764129553e-169,0.23365659315574686,5.8140348312206565e-11,0.0,0.0,0.0,0.024246877564523806,0.55,0.4155159712230216
7662.835251798561,0.1037390695963298,0.0,0.07403784823507376,0.8962609304036704,2.1423679183300745e-107,0.255271484341881,2.6603086228251937e-25,2.157689907075459e-107,0.2744724412677608,2.315162303854311e-12,0.0,0.0,0.0,0.02444704045268887,0.55,0.4189461397738951
7656.274820143885,0.11298653879482586,0.0,0.08200554828208827,0.8870134612051739,2.5542983072283025e-105,0.28719537040924475,2.812384557989643e-28,2.5714253568818014e-105,0.30882931557687976,8.443902698256462e-14,0.0,0.0,0.0,0.024334179197305118,0.55,0.4170120493319635
7649.714388489208,0.1254910469986387,0.0,0.09339245312029809,0.8745089530013611,6.374568180069964e-98,0.31450906734990786,0.0,6.413960747678704e-98,0.33779393409091807,2.85133839254505e-15,0.0,0.0,0.0,0.024003359286615036,0.55,0.4113428263103805
7643.153956834532,0.1457947696157049,0.0,0.11097055465994823,0.8542052303842949,2.2194341286461172e-27,0.3404247531754128,0.0,2.234029735571575e-27,0.366575671629184,8.899174085846145e-17,0.0,0.0,0.0,0.02411820684539825,0.55,0.41331095580678323
7636.593525179856,0.1822562006153826,0.0,0.1389687038429938,0.8177437993846174,8.588231989197286e-20,0.3668160818783283,0.0,8.656949829411326e-20,0.3992487969043977,3.386648466004859e-17,0.0,0.0,0.0,0.025354175139762673,0.55,0.4344916032887957
7630.0330935251795,0.2410531289178818,0.0,0.1947896297540854,0.7589468710821186,5.0606165612769e-10,0.4233959917075485,0.0,5.113168514611406e-10,0.46554788861500335,3.9915278898909644e-18,0.0,0.0,0.0,0.027628156803670933,0.5265394326824235,0.4734605673175765
7623.4726618705035,0.30855275289808554,0.0,0.2689511302300386,0.6914472471019145,7.313135266948156e-09,0.5041389494721423,0.0,7.370266901051316e-09,0.5488415334263018,1.772890381617359e-19,0.0,0.0,0.0,0.025282437561498915,0.55,0.4332622446043164
7616.912230215828,0.34964473725681033,0.0,0.3085836317100276,0.6503552627431897,4.0013758815734925e-07,0.5831328259106838,0.0,4.025697125339572e-07,0.6290452423405373,7.532392247023101e-21,0.0,0.0,0.0,0.023948059808331857,0.55,0.4103951654676261
7610.351798561152,0.3877586624547533,0.0,0.34470657735412435,0.6122413375452466,3.826440522210321e-06,0.6433341594590986,0.0,3.849274605206557e-06,0.6941286055047369,8.536021463306469e-22,0.0,0.0,0.0,0.023777429149568194,0.55,0.40747108735868476
7603.791366906475,0.4175647716072961,0.0,0.37237052826202716,0.5824352283927035,5.7015051127593284e-05,0.6788535896778747,0.0,5.734484721515355e-05,0.7347094239132937,8.3365801630787865e-22,0.0,0.0,0.0,0.023963919289496188,0.55,0.41066694758478944
