time_s,time_min,stage,bulk_cement_fill,effective_efficiency,target_interval_efficiency,cbl_eval_interval_efficiency,front_wide_m,front_narrow_m,front_mid_m,channeling_index,mixing_index,instability_proxy,instability_index,mean_wall_mud,mean_cement,mean_mud
6744.0,112.4,替钻井液,0.03170415883155255,0.03170415883155255,0.08385065156926778,0.03895479768476106,101.76635671342686,27.754460921843688,74.01189579158317,0.03206412825649914,0.015781102070563827,0.33530987800035833,0.06486275615101689,0.0,0.032588419170189724,0.14837483007674016
6748.0,112.46666666666667,替钻井液,0.03277141902948378,0.03277141902948378,0.09659790294794757,0.04026613684718138,106.3921002004008,27.754460921843688,78.63763927855712,0.03406813627253033,0.01622222084000486,0.3560355891310865,0.0687310102572587,0.0,0.033704796684299765,0.14737371181849973
6752.0,112.53333333333333,替钻井液,0.033838175885210355,0.033838175885210355,0.10991976081440123,0.04157685755465853,106.3921002004008,32.38020440881764,78.63763927855712,0.03206412825649913,0.01666155826453905,0.3348933677168697,0.06478485405065204,0.0,0.034821680812056374,0.14637380290047608
6756.0,112.6,替钻井液,0.034904285793119445,0.034904285793119445,0.12370000744669037,0.04288678335943927,111.01784368737475,32.38020440881764,83.26338276553106,0.03406813627253033,0.017098785489857847,0.3556262891241603,0.06865477345613857,0.0,0.03593840757184132,0.14537518172285685
6760.0,112.66666666666667,替钻井液,0.03596999996642452,0.03596999996642452,0.13789078854846692,0.044196222926388626,115.64358717434871,37.005947895791586,83.26338276553106,0.03406813627253033,0.017534538082586443,0.35543908342932723,0.06861990217727953,0.0,0.037054889181629504,0.14437781069709044
6764.0,112.73333333333333,替钻井液,0.037035382548922975,0.037035382548922975,0.15253483755981848,0.04550525506878353,115.64358717434871,37.005947895791586,83.26338276553106,0.03406813627253033,0.01796894649422208,0.35526099258968785,0.06858672753374406,0.0,0.03817088852661914,0.143381770652897
6768.0,112.8,替钻井液,0.038100534252550895,0.038100534252550895,0.1677559144238108,0.04681400353105498,120.26933066132266,37.005947895791586,87.88912625250502,0.03607214428856153,0.018402134141586562,0.3759783022896738,0.07243801862957744,0.0,0.03928624734226746,0.14238707270993614
6772.0,112.86666666666666,替钻井液,0.03916584590430085,0.03916584590430085,0.1837031237215563,0.048122948521068,120.26933066132266,41.63169138276553,87.88912625250502,0.03406813627253033,0.0188351972712632,0.35492674170551436,0.0685244603105093,0.0,0.040401187749777294,0.14139377424557953
6776.0,112.93333333333334,替钻井液,0.040231405782153194,0.040231405782153194,0.20051006297745122,0.04943219850569232,124.8950741482966,41.63169138276553,92.51486973947897,0.03607214428856153,0.019268222581132217,0.3756367908105745,0.07237466185305264,0.0,0.0415156223049902,0.14040186386724157
6780.0,113.0,替钻井液,0.04129731796273861,0.04129731796273861,0.21829707144262048,0.05074188136354829,129.52081763527056,46.257434869739484,92.51486973947897,0.03607214428856153,0.019701373353785624,0.375473005096704,0.07234427499971963,0.0,0.04262950533611938,0.1394113820384735
6784.0,113.06666666666666,替钻井液,0.042363585104874445,0.042363585104874445,0.2371036725533022,0.05205200036151622,129.52081763527056,46.257434869739484,97.14061322645291,0.03607214428856153,0.020134437338169244,0.37531214780781386,0.07231443048266195,0.0,0.043742736626893826,0.13842238051037256
6788.0,113.13333333333334,替钻井液,0.043430206667486766,0.043430206667486766,0.2568363267021538,0.053362554834780314,134.1465611222445,46.257434869739484,101.76635671342686,0.03807615230459272,0.02056725098195299,0.39599489229768337,0.0761439213043511,0.0,0.04485522956824764,0.13743489565433198
6792.0,113.2,替钻井液,0.04449710347066463,0.04449710347066463,0.2773017415168702,0.05467344749523942,138.77230460921845,50.88317835671343,101.76635671342686,0.03807615230459273,0.020999394648122477,0.3958275909953306,0.07611300832214529,0.0,0.04596685621600863,0.13644897573597334
6796.0,113.26666666666667,替钻井液,0.04556421221185796,0.04556421221185796,0.29828333372011595,0.055984600563254466,138.77230460921845,50.88317835671343,106.3921002004008,0.03807615230459273,0.021430570969523836,0.39566017517534663,0.07608207314458748,0.0,0.04707754730801291,0.1354645964763708
6800.0,113.33333333333333,替钻井液,0.046631506415236036,0.046631506415236036,0.3195915831097531,0.05729598150805764,143.39804809619238,50.88317835671343,106.3921002004008,0.04008016032062391,0.021860613540589584,0.41630771655234206,0.07988953299019119,0.0,0.048187275496680095,0.13448185516865513
6804.0,113.4,替钻井液,0.047698937487603836,0.047698937487603836,0.34107833212826977,0.05860753062334697,148.02379158316634,55.508921843687375,111.01784368737475,0.04008016032062392,0.02228930669351127,0.4161302502191897,0.07985687468448455,0.0,0.04929602152380992,0.13350077367004212
6808.0,113.46666666666667,替钻井液,0.048766461210597224,0.048766461210597224,0.36263333238575646,0.05991919357816109,148.02379158316634,55.508921843687375,111.01784368737475,0.04008016032062392,0.02271653939280579,0.4159519049148821,0.0798240534579987,0.0,0.05040377830178697,0.13252142582809343
6812.0,113.53333333333333,替钻井液,0.04983407682371527,0.04983407682371527,0.38417723347282356,0.06123096943807495,152.6495350701403,60.13466533066133,115.64358717434871,0.04008016032062392,0.02314227603800804,0.41577275368354893,0.07979108273655444,0.0,0.05151058279842563,0.13154384069356248
6816.0,113.6,替钻井液,0.050901704192985175,0.050901704192985175,0.40565129018877893,0.06254275974273468,152.6495350701403,60.13466533066133,120.26933066132266,0.04008016032062392,0.02356635295202161,0.415592911536599,0.07975798367183273,0.0,0.05261640306099565,0.13056806147226305
6820.0,113.66666666666667,替钻井液,0.051969395877223615,0.051969395877223615,0.42701704673450114,0.06385462907098878,157.27527855711423,60.13466533066133,120.26933066132266,0.04208416833665511,0.023988913890760508,0.43618322429395534,0.08353980562340502,0.0,0.0537213334249534,0.12959412167047255
6824.0,113.73333333333333,替钻井液,0.05303710924890447,0.05303710924890447,0.4482469976592749,0.06516652504653342,161.9010220440882,64.76040881763528,124.8950741482966,0.04208416833665512,0.02440989176970632,0.4359936230969904,0.08350505257452223,0.0,0.054825379555759744,0.12862210838568458
6828.0,113.8,替钻井液,0.05410479866636382,0.05410479866636382,0.4693225704641756,0.06647839158960336,161.9010220440882,64.76040881763528,124.8950741482966,0.04208416833665512,0.024829226372755746,0.4358040427081715,0.08347030202202743,0.0,0.05592854058124369,0.1276520755728873
6832.0,113.86666666666666,替钻井液,0.055172484443111805,0.055172484443111805,0.4902310356814693,0.067790253659343,166.52676553106213,64.76040881763528,129.52081763527056,0.044088176352686304,0.025247015398200286,0.4563583447710112,0.08723029397828419,0.0,0.05703087917361106,0.12668409874070954
6836.0,113.93333333333334,替钻井液,0.05624015834081421,0.05624015834081421,0.510956326092821,0.06910210113333766,171.15250901803608,69.38615230460923,134.1465611222445,0.04408817635268631,0.025663302159197297,0.45616068699368484,0.08719421005880146,0.0,0.05813243157993497,0.12571817043856093
6840.0,114.0,替钻井液,0.05730778263776317,0.05730778263776317,0.5314753961920005,0.07041388766304656,171.15250901803608,69.38615230460923,134.1465611222445,0.04408817635268631,0.026078014261115015,0.4559639873567827,0.08715829963896071,0.0,0.05923319764438687,0.12475446640653867
6844.0,114.06666666666666,替钻井液,0.058375378507348794,0.058375378507348794,0.5517619494440119,0.07172563926414582,175.77825250501004,74.01189579158317,138.77230460921845,0.04408817635268632,0.02649125718070476,0.45576859182352825,0.08712262590375264,0.0,0.06033323610455259,0.12379298695437858
6848.0,114.13333333333334,替钻井液,0.05944292922870351,0.05944292922870351,0.5717880953387555,0.07303733539175941,175.77825250501004,74.01189579158317,138.77230460921845,0.04408817635268632,0.026903052971233042,0.4555747830483316,0.08708724048880101,0.0,0.06143256685255774,0.12283383000969725
6852.0,114.2,替钻井液,0.060510435555591276,0.060510435555591276,0.5915281887990268,0.07434897697203466,180.40399599198398,74.01189579158317,143.39804809619238,0.04609218436871751,0.027313445645058353,0.476082165094551,0.09082386256383468,0.0,0.0625312220329939,0.12187711290784792
6856.0,114.26666666666667,替钻井液,0.06157788372495484,0.06157788372495484,0.6109555819231296,0.07566054709434754,185.02973947895794,78.63763927855712,143.39804809619238,0.04609218436871751,0.027722453680502062,0.47588394765774705,0.09078781893667864,0.0,0.06362921705922105,0.12092288151655575
6860.0,114.33333333333333,替钻井液,0.06264528038442439,0.06264528038442439,0.6300409518972094,0.07697205392661981,185.02973947895794,78.63763927855712,148.02379158316634,0.04609218436871751,0.028130146292648095,0.47568842514234416,0.09075226395096792,0.0,0.0647265889665868,0.11997126970522592
6864.0,114.4,替钻井液,0.06371262410681605,0.06371262410681605,0.6487515789081799,0.07828349571527522,189.65548296593187,83.26338276553106,152.6495350701403,0.04609218436871751,0.02853655011547993,0.47549594716954696,0.0907172612450462,0.0,0.06582336042976687,0.11902240231212954
6868.0,114.46666666666667,替钻井液,0.06477991225122771,0.06477991225122771,0.6670525422501681,0.07959486921544591,194.28122645290583,83.26338276553106,152.6495350701403,0.04809619238474871,0.028941686288303514,0.495972327930591,0.09443341063797517,0.0,0.06691955125787659,0.11807638801759704
6872.0,114.53333333333333,替钻井液,0.0658471484699467,0.0658471484699467,0.684908860245804,0.0809061789146855,194.28122645290583,83.26338276553106,157.27527855711423,0.04809619238474871,0.029345637754160256,0.4957788477760119,0.09439836812723823,0.0,0.0680151888037278,0.11713338623344867
6876.0,114.6,替钻井液,0.06691431843883024,0.06691431843883024,0.7022832816056318,0.082217407212966,198.9069699398798,87.88912625250502,157.27527855711423,0.04809619238474871,0.029748380243522207,0.495589517973707,0.09436407600240437,0.0,0.06911027911581956,0.11619353633203656
6880.0,114.66666666666667,替钻井液,0.06798143622441603,0.06798143622441603,0.7191379447608457,0.08352857139379688,198.9069699398798,87.88912625250502,161.9010220440882,0.04809619238474871,0.03015000217829607,0.49540471859517016,0.09433060319264563,0.0,0.07020485185773112,0.11525701659010833
6884.0,114.73333333333333,替钻井液,0.06904850201374615,0.06904850201374615,0.7354358474524849,0.08483967168699615,203.53271342685372,92.51486973947897,166.52676553106213,0.0480961923847487,0.030550540436327035,0.4952247423607162,0.09429800281238021,0.0,0.07129892639917304,0.11432403047246095
