well,category,item,loader_value,csv_value,status,note
hu101,sanity,密度范围 领浆,2100,水泥浆1.85–1.95g/cc,⚠,超出常规水泥浆范围：加重/低密配方需与配方记录核对
hu101,sanity,n范围 领浆,0.844,0.2–1.2,✓,
hu101,sanity,K范围 领浆,0.381,0.05–5 Pa·s^n,✓,
hu101,sanity,密度范围 尾浆,1900,水泥浆1.85–1.95g/cc,✓,
hu101,sanity,n范围 尾浆,0.83,0.2–1.2,✓,
hu101,sanity,K范围 尾浆,0.352,0.05–5 Pa·s^n,✓,
hu101,sanity,YP>0 轻泥浆,9.2,>0,✓,YP=0 仅当流体确无屈服
hu101,sanity,YP>0 中置液,9.2,>0,✓,YP=0 仅当流体确无屈服
hu101,sanity,YP>0 井浆,9.2,>0,✓,YP=0 仅当流体确无屈服
hu101,sanity,ID<OD,91.73278006948564<139.7,—,✓,
hu101,sanity,悬挂器<鞋深,5407.46<7868.0,—,✓,
hu101,sanity,尾管长度≈shoe−hanger,2460.5,模型段长2468.0,✓,模型段顶可为水泥返高（≠悬挂器），差异仅提示
hu101,sanity,"standoff∈[0,1]",0.38–0.48,—,✓,
hu101,sanity,井径>尾管OD(全部点),—,0点违反,✓,
hu102,fluid,role=?,0条,70条,⚠,loader或CSV侧该角色无对应条目（角色映射或口径差异）
hu102,fluid,role=displacement,1条,0条,⚠,loader或CSV侧该角色无对应条目（角色映射或口径差异）
hu102,fluid,role=flusher,1条,0条,⚠,loader或CSV侧该角色无对应条目（角色映射或口径差异）
hu102,fluid,role=lead,1条,0条,⚠,loader或CSV侧该角色无对应条目（角色映射或口径差异）
hu102,fluid,role=mud,1条,0条,⚠,loader或CSV侧该角色无对应条目（角色映射或口径差异）
hu102,fluid,role=other,2条,0条,⚠,loader或CSV侧该角色无对应条目（角色映射或口径差异）
hu102,fluid,role=spacer,1条,0条,⚠,loader或CSV侧该角色无对应条目（角色映射或口径差异）
hu102,fluid,role=tail,1条,0条,⚠,loader或CSV侧该角色无对应条目（角色映射或口径差异）
hu102,fluid,role=wash,2条,0条,⚠,loader或CSV侧该角色无对应条目（角色映射或口径差异）
hu102,schedule,role=displacement[1] 体积m3(替浆（钻井液）),74,7,✗,容差0.2m³/1%
hu102,schedule,role=displacement[1] 排量m3/min,0.840909,—,-,
hu102,schedule,role=lead[1] 体积m3(注入领浆),10,10,✓,
hu102,schedule,role=lead[1] 排量m3/min,0.7,—,-,
hu102,schedule,role=mud[1] 体积m3(循环排混浆),41,72,✗,容差0.2m³/1%
hu102,schedule,role=mud[1] 排量m3/min,1.3,—,-,
hu102,schedule,role=other,2步,0步,⚠,单侧无该角色步骤（口径/序列差异）
hu102,schedule,role=spacer[1] 体积m3(注入试隔离液),5,5,✓,
hu102,schedule,role=spacer[1] 排量m3/min,0.6,0.6,✓,
hu102,schedule,role=spacer[2] 体积m3(注入隔离液),15,15,✓,
hu102,schedule,role=spacer[2] 排量m3/min,0.7,—,-,
hu102,schedule,role=tail[1] 体积m3(注入尾浆),7,7,✓,
hu102,schedule,role=tail[1] 排量m3/min,0.7,—,-,
hu102,schedule,role=wash[1] 体积m3(注入平衡液（前置液）),15,15,✓,
hu102,schedule,role=wash[1] 排量m3/min,0.45,—,-,
hu102,schedule,role=保护液,0步,1步,⚠,单侧无该角色步骤（口径/序列差异）
hu102,geometry,悬挂器深度hanger_md_m,6823.1,7665.52,✗,well_geometry.csv；容差0.5m
hu102,geometry,尾管鞋shoe_md_m,7735,7735,✓,
hu102,geometry,模型段顶top_md_m,6823.1,6821.9,✓,
hu102,geometry,完钻/段底bottom_md_m,7735,7735,✓,
hu102,geometry,井径剖面点数(CSV实测 vs loader模型域),63,62,⚠,loader仅保留模型段内点并可能做等效换算
hu102,geometry,井径max mm(CSV vs loader),200.6,200.6,✓,上段等效换算会改变数值
hu102,geometry,井径min mm(CSV vs loader),184.8,184.8,✓,
hu102,cbl,地层目标[J3k目的层] 7422-7640,covered,target_intervals.csv,✓,
hu102,cbl,地层目标[标节1] 7432.91-7434.27,covered,target_intervals.csv,✓,
hu102,cbl,地层目标[标节2] 7638.05-7639.4,covered,target_intervals.csv,✓,
hu102,cbl,地层目标[裸眼段] 6720-7735,未覆盖,target_intervals.csv,⚠,
hu102,总表,总表[cbl/cbl_pass_rate],0.6665,0.6665,✓,100413.PDF CBL合格率66.65%; CBL评价窗6840-7665m
hu102,总表,总表[geometry/caliper_profile],—,—,-,paper metadata marks hu102 as field-rich but loader-rebuild sensitive
hu102,总表,总表[program/pumping_schedule],—,—,-,future improvement should rebuild from extracted pumping CSV
hu102,内部,每步rate×duration=体积,闭合,闭合,✓,
hu102,内部,浆体总体积m3(lead+tail+intermediate),17,180,✓,日程总注入180.0m³含前置/顶替
hu102,内部,环空体积重算m3(hole_profile×OD积分),12.38,—,⚠,重算口径：hole_diameter_profile×(双径)liner OD；技套重叠段按外推井径计
hu102,内部,水泥浆总体积/环空体积(η_E库存比上限),1.374,—,⚠,>1 表示水泥浆量超过环空容量（返高以上/漏失/计量口径）
hu102,内部,管内容积重算m3 vs 替浆总体积m3,8.4 vs 74.0,—,⚠,替浆总量应≈碰压时管内容积；差异大提示 liner_id/pipe_id 口径为等效或代理
hu102,sanity,密度范围 钻井液,2020,泥浆1.05–2.35g/cc,✓,
hu102,sanity,YP>0 钻井液,10,>0,✓,YP=0 仅当流体确无屈服
hu102,sanity,YP>0 替浆液,10,>0,✓,YP=0 仅当流体确无屈服
hu102,sanity,YP>0 平衡液,18,>0,✓,YP=0 仅当流体确无屈服
hu102,sanity,YP>0 隔离液,8,>0,✓,YP=0 仅当流体确无屈服
hu102,sanity,密度范围 领浆,2100,水泥浆1.85–1.95g/cc,⚠,超出常规水泥浆范围：加重/低密配方需与配方记录核对
hu102,sanity,n范围 领浆,0.737,0.2–1.2,✓,
hu102,sanity,K范围 领浆,0.947,0.05–5 Pa·s^n,✓,
hu102,sanity,密度范围 尾管水泥浆,2100,水泥浆1.85–1.95g/cc,⚠,超出常规水泥浆范围：加重/低密配方需与配方记录核对
hu102,sanity,n范围 尾管水泥浆,0.737,0.2–1.2,✓,
hu102,sanity,K范围 尾管水泥浆,0.947,0.05–5 Pa·s^n,✓,
hu102,sanity,YP>0 压塞液,10,>0,✓,YP=0 仅当流体确无屈服
hu102,sanity,YP>0 后置液,8,>0,✓,YP=0 仅当流体确无屈服
hu102,sanity,YP>0 冲洗液,8,>0,✓,YP=0 仅当流体确无屈服
hu102,sanity,YP>0 冲洗液（FLUSHER）,1.5,>0,✓,YP=0 仅当流体确无屈服
hu102,sanity,ID<OD,108.1<139.7,—,✓,
hu102,sanity,悬挂器<鞋深,6823.1<7735.0,—,✓,
hu102,sanity,尾管长度≈shoe−hanger,911.9,模型段长911.9,✓,模型段顶可为水泥返高（≠悬挂器），差异仅提示
hu102,sanity,"standoff∈[0,1]",0.45–0.61,—,✓,
hu102,sanity,井径>尾管OD(全部点),—,0点违反,✓,
hu103,fluid,displacement/中置液 密度kg/m3,1950,2100,✗,CSV g/cm3×1000；容差10kg/m3
hu103,fluid,displacement/中置液 PV Pa·s,0.054,—,-,
hu103,fluid,displacement/中置液 YP Pa,10,—,-,
hu103,fluid,displacement/替浆液 密度kg/m3,1980,1950,✗,CSV g/cm3×1000；容差10kg/m3
hu103,fluid,displacement/替浆液 PV Pa·s,0.054,—,-,
hu103,fluid,displacement/替浆液 YP Pa,10,—,-,
hu103,fluid,role=intermediate,1条,0条,⚠,loader或CSV侧该角色无对应条目（角色映射或口径差异）
hu103,fluid,role=intermediate_cement,0条,1条,⚠,loader或CSV侧该角色无对应条目（角色映射或口径差异）
hu103,fluid,role=lead[第1对1/2] 密度kg/m3,2050,2050,✓,
hu103,fluid,role=lead[第1对1/2] n,0.82,0.82,✓,
hu103,fluid,role=lead[第1对1/2] K Pa·s^n,0.67,0.67,✓,
hu103,fluid,role=lead[第1对1/2] 流变模型,power_law,power_law,✓,
hu103,fluid,mud/钻井液[第1对1/6] 密度kg/m3,1980,1980,✓,
hu103,fluid,mud/钻井液[第1对1/6] PV Pa·s,0.054,0.054,✓,
hu103,fluid,mud/钻井液[第1对1/6] YP Pa,10,10,✓,
hu103,fluid,mud/钻井液[第1对1/6] 流变模型,bingham,power_law,⚠,
hu103,fluid,mud/平衡液[第2对2/6] 密度kg/m3,1880,1980,✗,CSV g/cm3×1000；容差10kg/m3
hu103,fluid,mud/平衡液[第2对2/6] PV Pa·s,0.025,0.088,✗,CSV mPa·s/1000；容差2%
hu103,fluid,mud/平衡液[第2对2/6] YP Pa,1.5,15.5,✗,容差2%
hu103,fluid,role=other,1条,0条,⚠,loader或CSV侧该角色无对应条目（角色映射或口径差异）
hu103,fluid,spacer/隔离液1 密度kg/m3,2000,2000,✓,
hu103,fluid,spacer/隔离液1 n,0.54,—,-,
hu103,fluid,spacer/隔离液1 K Pa·s^n,2.12,—,-,
hu103,fluid,spacer/隔离液2 密度kg/m3,1950,1950,✓,
hu103,fluid,spacer/隔离液2 n,0.54,—,-,
hu103,fluid,spacer/隔离液2 K Pa·s^n,2.12,—,-,
hu103,fluid,spacer/隔离液(实际) 密度kg/m3,1920,2000,✗,CSV g/cm3×1000；容差10kg/m3
hu103,fluid,spacer/隔离液(实际) n,0.54,0.54,✓,
hu103,fluid,spacer/隔离液(实际) K Pa·s^n,2.12,2.12,✓,
hu103,fluid,spacer/隔离液(实际) 流变模型,power_law,power_law,✓,
hu103,fluid,role=tail[第1对1/2] 密度kg/m3,2050,2050,✓,
hu103,fluid,role=tail[第1对1/2] n,0.76,0.76,✓,
hu103,fluid,role=tail[第1对1/2] K Pa·s^n,1.14,1.14,✓,
hu103,fluid,role=tail[第1对1/2] 流变模型,power_law,power_law,✓,
hu103,fluid,隔离液1 n(六速反算参考),0.54,0.791,⚠,140℃ 六速θ600/θ300=128.0/74.0；反算仅供温度口径参考
hu103,fluid,隔离液1 K(六速反算参考),2.12,0.273,⚠,反算 K=0.511·θ300/(1.7023·300)^n
hu103,fluid,隔离液2 n(六速反算参考),0.54,0.791,⚠,140℃ 六速θ600/θ300=128.0/74.0；反算仅供温度口径参考
hu103,fluid,隔离液2 K(六速反算参考),2.12,0.273,⚠,反算 K=0.511·θ300/(1.7023·300)^n
hu103,fluid,隔离液(实际) n(六速反算参考),0.54,0.791,⚠,140℃ 六速θ600/θ300=128.0/74.0；反算仅供温度口径参考
hu103,fluid,隔离液(实际) K(六速反算参考),2.12,0.273,⚠,反算 K=0.511·θ300/(1.7023·300)^n
hu103,schedule,role=displacement[1] 体积m3(替钻井液(一段)),23,7,✗,容差0.2m³/1%
hu103,schedule,role=displacement[1] 排量m3/min,1.8,1.8,✓,
hu103,schedule,role=displacement[2] 体积m3(替中置液),15,23,✗,容差0.2m³/1%
hu103,schedule,role=displacement[2] 排量m3/min,1.8,1.8,✓,
hu103,schedule,role=displacement[3] 体积m3(替钻井液(二段)),45.2,15,✗,容差0.2m³/1%
hu103,schedule,role=displacement[3] 排量m3/min,1.8,1.8,✓,
hu103,schedule,role=intermediate,1步,0步,⚠,单侧无该角色步骤（口径/序列差异）
hu103,schedule,role=intermediate_cement,0步,1步,⚠,单侧无该角色步骤（口径/序列差异）
hu103,schedule,role=lead[1] 体积m3(注入领浆),22,22,✓,
hu103,schedule,role=lead[1] 排量m3/min,1.8,1.8,✓,
hu103,schedule,role=mud[1] 体积m3(注入平衡液(轻泥浆)),28,28,✓,
hu103,schedule,role=mud[1] 排量m3/min,1.6,1.6,✓,
hu103,schedule,role=other,1步,0步,⚠,单侧无该角色步骤（口径/序列差异）
hu103,schedule,role=spacer[1] 体积m3(注入驱油隔离液1),17.5,17.5,✓,
hu103,schedule,role=spacer[1] 排量m3/min,1.6,1.6,✓,
hu103,schedule,role=spacer[2] 体积m3(注入驱油隔离液2),17.5,17.5,✓,
hu103,schedule,role=spacer[2] 排量m3/min,1.6,1.6,✓,
hu103,schedule,role=tail[1] 体积m3(注入尾浆),26,26,✓,
hu103,schedule,role=tail[1] 排量m3/min,1.8,1.8,✓,
hu103,geometry,well_geometry.csv 同item多值行,—,"borehole_nominal_diameter,drill_bit_size,float_collar_md,liner_inner_diameter,liner_outer_diameter",⚠,CSV长表混入回接段同名item，比对取首现（尾管段）值
hu103,geometry,悬挂器深度hanger_md_m,5545.97,5546,✓,
hu103,geometry,尾管鞋shoe_md_m,7770,7770,✓,
hu103,geometry,模型段顶top_md_m,5536.66,5536.66,✓,
hu103,geometry,完钻/段底bottom_md_m,7770,7768.51,✓,
hu103,geometry,下段尾管OD mm,139.7,139.7,✓,casing_liner_string 最后一 liner 段
hu103,geometry,上段尾管OD mm,168.3,168.3,✓,
hu103,geometry,上段尾管ID mm,138.9,138.9,✓,
hu103,geometry,上段底/变径位置 md_m,7330.69,7330.69,✓,loader常取整（如6796.329→6796）
hu103,geometry,尾管长度m(CSV分段和 vs shoe−hanger),2224.03,2222.49,✓,含悬挂器/浮箍段长差异，容差30m
hu103,geometry,井径剖面点数(CSV实测 vs loader模型域),70,69,⚠,loader仅保留模型段内点并可能做等效换算
hu103,geometry,井径max mm(CSV vs loader),295.6,295.6,✓,上段等效换算会改变数值
hu103,geometry,井径min mm(CSV vs loader),217.7,217.7,✓,
hu103,geometry,standoff范围(CSV:centralization_percent vs loader),0.70–0.80,0.78–0.78,✓,CSV多为扶正器布置设计值，loader常为model_assumption名义剖面
hu103,cbl,CBL合格率(fraction),0.1206,0.1206,✓,来源 1/1005/10051/100516.pdf
hu103,cbl,CBL测量段 top/bottom,"窗['7338-7712', '5540-7331']",7338–7712,⚠,loader评价窗常为可评价子段（扣除双层套管/悬空段），见notes
hu103,cbl,地层目标[水层-胜金口组(K1s)] 6120-6122,covered,target_intervals.csv,✓,
hu103,cbl,地层目标[差气层-清水河组(K1q)] 7476-7479,covered,target_intervals.csv,✓,
hu103,cbl,地层目标[气层-清水河组(K1q)] 7507-7557,covered,target_intervals.csv,✓,
hu103,cbl,地层目标[差气层-喀拉扎组(J3k)] 7563-7619,covered,target_intervals.csv,✓,
hu103,cbl,地层目标[漏层1] 7542-7542.69,covered,target_intervals.csv,✓,
hu103,cbl,地层目标[渗漏点] 7652.6-7652.6,未覆盖,target_intervals.csv,⚠,
hu103,cbl,地层目标[领浆封固段] 5350-6000,未覆盖,target_intervals.csv,⚠,
hu103,cbl,地层目标[中间浆封固段] 6000-7000,未覆盖,target_intervals.csv,⚠,
hu103,cbl,地层目标[尾浆封固段] 7000-7770,未覆盖,target_intervals.csv,⚠,
hu103,总表,总表[cbl/cbl_pass_rate],0.1206,0.1206,✓,139.7mm段7338-7712m; do not mix 168.3mm段0.0004或综合0.0605
hu103,总表,总表[geometry/lower_liner_interval],—,139.7,-,paper main validation window is 7338-7712m
hu103,总表,总表[program/tail_volume_m3],26,19,✗,含下塞1.18m3; intermediate slurry remains proxy
hu103,内部,每步rate×duration=体积,闭合,闭合,✓,
hu103,内部,浆体总体积m3(lead+tail+intermediate),83,236.2,✓,日程总注入236.2m³含前置/顶替
hu103,内部,环空体积重算m3(hole_profile×OD积分),75.01,—,⚠,重算口径：hole_diameter_profile×(双径)liner OD；技套重叠段按外推井径计
hu103,内部,水泥浆总体积/环空体积(η_E库存比上限),1.107,—,⚠,>1 表示水泥浆量超过环空容量（返高以上/漏失/计量口径）
hu103,内部,管内容积重算m3 vs 替浆总体积m3,20.4 vs 83.2,—,⚠,替浆总量应≈碰压时管内容积；差异大提示 liner_id/pipe_id 口径为等效或代理
hu103,sanity,密度范围 钻井液,1980,泥浆1.05–2.35g/cc,✓,
hu103,sanity,YP>0 钻井液,10,>0,✓,YP=0 仅当流体确无屈服
hu103,sanity,密度范围 平衡液,1880,泥浆1.05–2.35g/cc,✓,
hu103,sanity,YP>0 平衡液,1.5,>0,✓,YP=0 仅当流体确无屈服
hu103,sanity,n范围 隔离液1,0.54,0.2–1.2,✓,
hu103,sanity,K范围 隔离液1,2.12,0.05–5 Pa·s^n,✓,
hu103,sanity,n范围 隔离液2,0.54,0.2–1.2,✓,
hu103,sanity,K范围 隔离液2,2.12,0.05–5 Pa·s^n,✓,
hu103,sanity,n范围 隔离液(实际),0.54,0.2–1.2,✓,
hu103,sanity,K范围 隔离液(实际),2.12,0.05–5 Pa·s^n,✓,
hu103,sanity,密度范围 领浆,2050,水泥浆1.85–1.95g/cc,⚠,超出常规水泥浆范围：加重/低密配方需与配方记录核对
hu103,sanity,n范围 领浆,0.82,0.2–1.2,✓,
hu103,sanity,K范围 领浆,0.67,0.05–5 Pa·s^n,✓,
hu103,sanity,密度范围 中间浆,2050,水泥浆1.85–1.95g/cc,⚠,超出常规水泥浆范围：加重/低密配方需与配方记录核对
hu103,sanity,n范围 中间浆,0.76,0.2–1.2,✓,
hu103,sanity,K范围 中间浆,1.11,0.05–5 Pa·s^n,✓,
hu103,sanity,密度范围 尾浆,2050,水泥浆1.85–1.95g/cc,⚠,超出常规水泥浆范围：加重/低密配方需与配方记录核对
hu103,sanity,n范围 尾浆,0.76,0.2–1.2,✓,
hu103,sanity,K范围 尾浆,1.14,0.05–5 Pa·s^n,✓,
hu103,sanity,YP>0 压塞液,10,>0,✓,YP=0 仅当流体确无屈服
hu103,sanity,YP>0 中置液,10,>0,✓,YP=0 仅当流体确无屈服
hu103,sanity,YP>0 替浆液,10,>0,✓,YP=0 仅当流体确无屈服
hu103,sanity,ID<OD,107.94<139.7,—,✓,
hu103,sanity,悬挂器<鞋深,5545.972<7770.0,—,✓,
hu103,sanity,尾管长度≈shoe−hanger,2224,模型段长2233.3,✓,模型段顶可为水泥返高（≠悬挂器），差异仅提示
hu103,sanity,上段OD>下段OD(双径井),168.3>139.7,—,✓,
hu103,sanity,"standoff∈[0,1]",0.70–0.80,—,✓,
hu103,sanity,井径>尾管OD(全部点),—,0点违反,✓,
hu103[variant],内部,每步rate×duration=体积,闭合,闭合,✓,
hu103[variant],内部,浆体总体积m3(lead+tail+intermediate),83,259.9,✓,日程总注入259.9m³含前置/顶替
hu103[variant],内部,环空体积重算m3(hole_profile×OD积分),75.01,—,⚠,重算口径：hole_diameter_profile×(双径)liner OD；技套重叠段按外推井径计
hu103[variant],内部,水泥浆总体积/环空体积(η_E库存比上限),1.107,—,⚠,>1 表示水泥浆量超过环空容量（返高以上/漏失/计量口径）
hu103[variant],内部,管内容积重算m3 vs 替浆总体积m3,20.4 vs 90.9,—,⚠,替浆总量应≈碰压时管内容积；差异大提示 liner_id/pipe_id 口径为等效或代理
hu103[variant],sanity,密度范围 钻井液,1980,泥浆1.05–2.35g/cc,✓,
