井号,井名,窗口名,窗口类型,窗口顶md,窗口底md,模型窗口η_E,模型窗口η_N,CBL段顶md,CBL段底md,CBL合格率%,CBL质量口径,窗口覆盖率,CBL段覆盖率,纳入现场验证,可比性,备注
hu2,呼探1-002,目的层-K1q清水河组(地层目标),formation_target,5702,6826.9,0.9998,0.9989,5292.5,7554,,定性合格,1.0000,0.4974,1,部分可比(定性),无定量合格率；窗口内定性段：定性合格:5292.5-7554
hu2,呼探1-002,目的层-J3k2喀拉扎组(地层目标),formation_target,6826.9,7554,0.9564,0.9834,5292.5,7554,,定性合格,1.0000,0.3215,1,部分可比(定性),无定量合格率；窗口内定性段：定性合格:5292.5-7554
hu2,呼探1-002,高压水层(地层目标),formation_target,5998,6002,0.0000,0.9994,5292.5,7554,,定性合格,1.0000,0.0018,1,部分可比(定性),无定量合格率；窗口内定性段：定性合格:5292.5-7554
ht1_001,呼探1-001,"CBL对比窗(模型假设,现场无CBL定量)",model_focus,5469.71,7746,0.9472,0.9340,5460.16,7746,,定性合格,1.0000,0.9958,0,部分可比(定性),无定量合格率；窗口内定性段：定性合格:5460.16-7746；无CBL:5460.16-7746；无CBL定量:5460.16-7746；定性合格:5460.16-7746；无CBL:5460.16-7174.94；无CBL:5460.16-7174.94
ht1_001,呼探1-001,K1q差气层1(录井显示),formation_target,7409,7423,0.0000,1.0000,5460.16,7746,,定性合格,1.0000,0.0061,0,部分可比(定性),无定量合格率；窗口内定性段：定性合格:5460.16-7746；无CBL:7174.94-7746；无CBL:5460.16-7746；无CBL定量:5460.16-7746；定性合格:5460.16-7746
ht1_001,呼探1-001,K1q油气同层(录井显示),formation_target,7504,7566,1.0000,1.0000,5460.16,7746,,定性合格,1.0000,0.0271,0,部分可比(定性),无定量合格率；窗口内定性段：定性合格:5460.16-7746；无CBL:7174.94-7746；无CBL:5460.16-7746；无CBL定量:5460.16-7746；定性合格:5460.16-7746
ht1_001,呼探1-001,J3k3气层(录井显示),formation_target,7642,7661,1.0000,1.0000,5460.16,7746,,定性合格,1.0000,0.0083,0,部分可比(定性),无定量合格率；窗口内定性段：定性合格:5460.16-7746；无CBL:7174.94-7746；无CBL:5460.16-7746；无CBL定量:5460.16-7746；定性合格:5460.16-7746
ht1_001,呼探1-001,K1s水层1(录井解释),formation_target,6060,6064,0.0000,0.9905,5460.16,7746,,定性合格,1.0000,0.0017,0,部分可比(定性),无定量合格率；窗口内定性段：定性合格:5460.16-7746；无CBL:5460.16-7174.94；无CBL:5460.16-7174.94；无CBL:5460.16-7174.94；无CBL:5460.16-7746；无CBL定量:5460.16-7746
ht1_001,呼探1-001,K1q+J3k2主要目的层,formation_target,6828,7746,0.9988,0.9988,5460.16,7746,,定性合格,1.0000,0.4016,0,部分可比(定性),无定量合格率；窗口内定性段：定性合格:5460.16-7746；无CBL:5460.16-7746；无CBL定量:5460.16-7746；定性合格:5460.16-7746；无CBL:7174.94-7746；无CBL:5460.16-7174.94
ht1_001,呼探1-001,模型关注窗(替浆/掺混分析),model_focus,7400,7500,1.0000,1.0000,5460.16,7746,,定性合格,1.0000,0.0437,0,部分可比(定性),无定量合格率；窗口内定性段：定性合格:5460.16-7746；无CBL:7174.94-7746；无CBL:5460.16-7746；无CBL定量:5460.16-7746；定性合格:5460.16-7746
ht1_003,呼1-003,CBL评价井段(尾管段),cbl,5568,7618,0.9991,0.9976,7442,7595,95.5,中等及以上占比(目的井段一界面),0.0746,1.0000,1,部分可比,次要口径
ht1_003,呼1-003,CBL评价井段(尾管段),cbl,5568,7618,0.9991,0.9976,5307.54,7514.21,78.7,中等及以上占比(尾管评价段一界面),0.9494,0.8820,1,可比,另有2个局部数字段口径并存
ht1_003,呼1-003,CBL评价井段(尾管段),cbl,5568,7618,0.9991,0.9976,3500,7595,88.5,中等及以上占比(全井测量段一界面),0.9888,0.4950,1,部分可比,次要口径
ht1_003,呼1-003,CBL数字化窗(78.7%对应),cbl_digitization,5307.54,7514.21,0.9986,0.9931,5307.54,7514.21,78.7,中等及以上占比(尾管评价段一界面),1.0000,1.0000,1,可比,另有2个局部数字段口径并存
ht1_003,呼1-003,CBL数字化窗(78.7%对应),cbl_digitization,5307.54,7514.21,0.9986,0.9931,3500,7595,88.5,中等及以上占比(全井测量段一界面),1.0000,0.5389,1,部分可比,次要口径
ht1_003,呼1-003,CBL数字化窗(78.7%对应),cbl_digitization,5307.54,7514.21,0.9986,0.9931,7442,7595,95.5,中等及以上占比(目的井段一界面),0.0327,0.4720,1,部分可比,次要口径
ht1_003,呼1-003,气层-K1q主力油层段(地层目标),formation_target,7418,7440,1.0000,1.0000,5307.54,7514.21,78.7,中等及以上占比(尾管评价段一界面),1.0000,0.0100,1,部分可比,窗口跨多个CBL数字段口径（无单一总口径）
ht1_003,呼1-003,气层-K1q主力油层段(地层目标),formation_target,7418,7440,1.0000,1.0000,3500,7595,88.5,中等及以上占比(全井测量段一界面),1.0000,0.0054,1,部分可比,窗口跨多个CBL数字段口径（无单一总口径）
ht1_003,呼1-003,目的井段(地层目标),formation_target,7442,7618,0.9930,0.9931,7442,7595,95.5,中等及以上占比(目的井段一界面),0.8693,1.0000,1,可比,另有2个局部数字段口径并存
ht1_003,呼1-003,目的井段(地层目标),formation_target,7442,7618,0.9930,0.9931,3500,7595,88.5,中等及以上占比(全井测量段一界面),0.8693,0.0374,1,部分可比,次要口径
ht1_003,呼1-003,目的井段(地层目标),formation_target,7442,7618,0.9930,0.9931,5307.54,7514.21,78.7,中等及以上占比(尾管评价段一界面),0.4103,0.0327,1,部分可比,次要口径
ht1_004,呼1-004,CBL评价井段(尾管段),cbl,5245,7581,0.9987,0.9941,5245,7581,0.3,不合格,1.0000,1.0000,1,可比,另有6个局部数字段口径并存
ht1_004,呼1-004,CBL评价井段(尾管段),cbl,5245,7581,0.9987,0.9941,5316,7581,0.2,不合格,0.9696,1.0000,0,部分可比,次要口径
ht1_004,呼1-004,CBL评价井段(尾管段),cbl,5245,7581,0.9987,0.9941,7495,7550,8.8,不合格,0.0235,1.0000,0,部分可比,次要口径
ht1_004,呼1-004,CBL评价井段(尾管段),cbl,5245,7581,0.9987,0.9941,7482,7560,6.2,不合格,0.0334,1.0000,0,部分可比,次要口径
ht1_004,呼1-004,CBL评价井段(尾管段),cbl,5245,7581,0.9987,0.9941,5578,7581,0.2,差,0.8574,1.0000,0,部分可比,次要口径
ht1_004,呼1-004,CBL评价井段(尾管段),cbl,5245,7581,0.9987,0.9941,11,7581,29.99,不合格,1.0000,0.3086,1,部分可比,次要口径
ht1_004,呼1-004,CBL评价井段(尾管段),cbl,5245,7581,0.9987,0.9941,11,7581,30,不合格,1.0000,0.3086,1,部分可比,次要口径
ht1_004,呼1-004,目的井段1(地层目标),formation_target,7495,7526,1.0000,1.0000,7495,7550,8.8,不合格,1.0000,0.5636,0,部分可比,窗口跨多个CBL数字段口径（无单一总口径）
ht1_004,呼1-004,目的井段1(地层目标),formation_target,7495,7526,1.0000,1.0000,7482,7560,6.2,不合格,1.0000,0.3974,0,部分可比,窗口跨多个CBL数字段口径（无单一总口径）
ht1_004,呼1-004,目的井段1(地层目标),formation_target,7495,7526,1.0000,1.0000,5578,7581,0.2,差,1.0000,0.0155,0,部分可比,窗口跨多个CBL数字段口径（无单一总口径）
ht1_004,呼1-004,目的井段1(地层目标),formation_target,7495,7526,1.0000,1.0000,5316,7581,0.2,不合格,1.0000,0.0137,0,部分可比,窗口跨多个CBL数字段口径（无单一总口径）
ht1_004,呼1-004,目的井段1(地层目标),formation_target,7495,7526,1.0000,1.0000,5245,7581,0.3,不合格,1.0000,0.0133,1,部分可比,窗口跨多个CBL数字段口径（无单一总口径）
ht1_004,呼1-004,目的井段1(地层目标),formation_target,7495,7526,1.0000,1.0000,11,7581,29.99,不合格,1.0000,0.0041,1,部分可比,窗口跨多个CBL数字段口径（无单一总口径）
ht1_004,呼1-004,目的井段1(地层目标),formation_target,7495,7526,1.0000,1.0000,11,7581,30,不合格,1.0000,0.0041,1,部分可比,窗口跨多个CBL数字段口径（无单一总口径）
ht1_004,呼1-004,目的井段2(地层目标),formation_target,7531,7550,1.0000,1.0000,7495,7550,8.8,不合格,1.0000,0.3455,0,部分可比,窗口跨多个CBL数字段口径（无单一总口径）
ht1_004,呼1-004,目的井段2(地层目标),formation_target,7531,7550,1.0000,1.0000,7482,7560,6.2,不合格,1.0000,0.2436,0,部分可比,窗口跨多个CBL数字段口径（无单一总口径）
ht1_004,呼1-004,目的井段2(地层目标),formation_target,7531,7550,1.0000,1.0000,5578,7581,0.2,差,1.0000,0.0095,0,部分可比,窗口跨多个CBL数字段口径（无单一总口径）
ht1_004,呼1-004,目的井段2(地层目标),formation_target,7531,7550,1.0000,1.0000,5316,7581,0.2,不合格,1.0000,0.0084,0,部分可比,窗口跨多个CBL数字段口径（无单一总口径）
ht1_004,呼1-004,目的井段2(地层目标),formation_target,7531,7550,1.0000,1.0000,5245,7581,0.3,不合格,1.0000,0.0081,1,部分可比,窗口跨多个CBL数字段口径（无单一总口径）
ht1_004,呼1-004,目的井段2(地层目标),formation_target,7531,7550,1.0000,1.0000,11,7581,29.99,不合格,1.0000,0.0025,1,部分可比,窗口跨多个CBL数字段口径（无单一总口径）
ht1_004,呼1-004,目的井段2(地层目标),formation_target,7531,7550,1.0000,1.0000,11,7581,30,不合格,1.0000,0.0025,1,部分可比,窗口跨多个CBL数字段口径（无单一总口径）
ht1_004,呼1-004,油气水层段(红线),oil_gas_show,7482,7560,1.0000,1.0000,7495,7550,8.8,不合格,0.7051,1.0000,0,部分可比,次要口径
ht1_004,呼1-004,油气水层段(红线),oil_gas_show,7482,7560,1.0000,1.0000,7482,7560,6.2,不合格,1.0000,1.0000,0,可比,另有6个局部数字段口径并存
ht1_004,呼1-004,油气水层段(红线),oil_gas_show,7482,7560,1.0000,1.0000,5578,7581,0.2,差,1.0000,0.0389,0,部分可比,次要口径
ht1_004,呼1-004,油气水层段(红线),oil_gas_show,7482,7560,1.0000,1.0000,5316,7581,0.2,不合格,1.0000,0.0344,0,部分可比,次要口径
ht1_004,呼1-004,油气水层段(红线),oil_gas_show,7482,7560,1.0000,1.0000,5245,7581,0.3,不合格,1.0000,0.0334,1,部分可比,次要口径
ht1_004,呼1-004,油气水层段(红线),oil_gas_show,7482,7560,1.0000,1.0000,11,7581,29.99,不合格,1.0000,0.0103,1,部分可比,次要口径
ht1_004,呼1-004,油气水层段(红线),oil_gas_show,7482,7560,1.0000,1.0000,11,7581,30,不合格,1.0000,0.0103,1,部分可比,次要口径
