time_s,time_min,stage,bulk_cement_fill,effective_efficiency,target_interval_efficiency,cbl_eval_interval_efficiency,front_wide_m,front_narrow_m,front_mid_m,channeling_index,mixing_index,instability_proxy,instability_index,mean_wall_mud,mean_cement,mean_mud
7092.0,118.2,替钻井液(快),0.078928963995461,0.078928963995461,0.6663147327258111,0.08798004470194663,162.05638276553108,129.64510621242488,152.79601803607216,0.014028056112218372,0.03685149622479372,0.04145900196421137,0.00825751823500509,0.0,0.06453825685249423,0.009059878923200794
7096.0,118.26666666666667,替钻井液(快),0.08018573212179406,0.08018573212179406,0.6765186273379895,0.08938093114891842,162.05638276553108,129.64510621242488,152.79601803607216,0.014028056112218372,0.03730727587577069,0.04140757931824403,0.008247318578049723,0.0,0.06551759872199027,0.00901130362004076
7100.0,118.33333333333333,替钻井液(快),0.08144240114468707,0.08144240114468707,0.6866706867120207,0.0907817071278865,166.68656513026053,129.64510621242488,157.42620040080163,0.016032064128249566,0.03776214559862796,0.04726399763104953,0.009408262261190403,0.0,0.06649521563522551,0.008962989779605524
7104.0,118.4,替钻井液(快),0.08269896331615165,0.08269896331615165,0.6967670604321234,0.09218236400237159,166.68656513026053,134.27528857715433,157.42620040080163,0.014028056112218372,0.03821603740202699,0.041304319280221484,0.008226836682635796,0.0,0.06747126236451662,0.008914909898874338
7108.0,118.46666666666667,替钻井液(快),0.08395541034338651,0.08395541034338651,0.7068035369241058,0.09358289252860574,171.31674749499,134.27528857715433,162.05638276553108,0.016032064128249576,0.03866887108030998,0.04714585583446561,0.009384855927149327,0.0,0.06844590333673714,0.008867094062932904
7112.0,118.53333333333333,替钻井液(快),0.08521173218339889,0.08521173218339889,0.7167754914682726,0.09498328151192849,171.31674749499,138.90547094188378,162.05638276553108,0.014028056112218384,0.039120562953125965,0.041200970090248173,0.008206336680157467,0.0,0.06941931730410297,0.008819510818585367
7116.0,118.6,替钻井液(快),0.08646791430514715,0.08646791430514715,0.7266778164991753,0.09638351475496906,175.94692985971946,138.90547094188378,166.68656513026053,0.016032064128249576,0.039571009891886263,0.04702793373257659,0.009361492567654395,0.0,0.07039169749979217,0.0087721977760602
7120.0,118.66666666666667,替钻井液(快),0.08772394602893063,0.08772394602893063,0.7365049387584085,0.09778358035334546,175.94692985971946,143.53565330661326,166.68656513026053,0.014028056112218372,0.0400201124137151,0.04109810577348701,0.008185932434762289,0.0,0.07136326490789313,0.008725111112202227
7124.0,118.73333333333333,替钻井液(快),0.08897981032216096,0.08897981032216096,0.7462506683887217,0.0991834593212784,180.5771122244489,143.53565330661326,171.31674749499,0.016032064128249566,0.040467762802933065,0.04691093266752449,0.009338311144340028,0.0,0.0723342616884631,0.008678300862176046
7128.0,118.8,替钻井液(快),0.09023549758687185,0.09023549758687185,0.7559082362715209,0.1005831409601668,180.5771122244489,148.1658356713427,171.31674749499,0.014028056112218372,0.04091386331243798,0.04099641898565044,0.00816576135231728,0.0,0.07330496492472963,0.008631721695696091
7132.0,118.86666666666666,替钻井液(快),0.09149099285449394,0.09149099285449394,0.7654700799285145,0.1019826085849392,185.2072945891784,148.1658356713427,175.94692985971946,0.016032064128249576,0.04135831729786836,0.04679578301338858,0.009315496011458091,0.0,0.07427567131260698,0.008585421973213008
7136.0,118.93333333333334,替钻井液(快),0.09274629487363684,0.09274629487363684,0.7749278663110435,0.10338186080070358,185.2072945891784,148.1658356713427,175.94692985971946,0.016032064128249576,0.041801045892721274,0.046739286650811854,0.009304301934028425,0.0,0.07524670592200897,0.008539355810447456
7140.0,119.0,替钻井液(快),0.09400139915928103,0.09400139915928103,0.7842721612921808,0.10478089260812641,189.83747695390784,152.79601803607216,180.5771122244489,0.016032064128249576,0.042241972466473175,0.04668376235593437,0.009293300336928323,0.0,0.07621839521374914,0.008493577631102475
7144.0,119.06666666666666,替钻井液(快),0.09525631288384351,0.09525631288384351,0.7934923148812711,0.10617971200211265,189.83747695390784,152.79601803607216,180.5771122244489,0.016032064128249576,0.0426810467347928,0.04662936794403072,0.00928252249664363,0.0,0.07719106720337379,0.008448043937679355
7148.0,119.13333333333334,替钻井液(快),0.09651104304659848,0.09651104304659848,0.8025760191732856,0.10757832678456959,194.4676593186373,157.42620040080163,180.5771122244489,0.016032064128249566,0.04311822643737815,0.0465762676577111,0.009272000964430593,0.0,0.07816502664661433,0.008402803226390568
7152.0,119.2,替钻井液(快),0.09776560286856126,0.09776560286856126,0.8115089201363616,0.108976751692616,194.4676593186373,157.42620040080163,185.2072945891784,0.016032064128249566,0.04355350716076919,0.046524550690785586,0.009261753422001862,0.0,0.07914055120145547,0.008357820968369076
7156.0,119.26666666666667,替钻井液(快),0.09902000537021305,0.09902000537021305,0.8202739879198816,0.11037500123984058,199.09784168336677,162.05638276553108,185.2072945891784,0.016032064128249576,0.043986894211819075,0.04647427808035463,0.009251791972341272,0.0,0.08011787577565696,0.008313136851157591
7160.0,119.33333333333333,替钻井液(快),0.1002742603282474,0.1002742603282474,0.8288508180816888,0.11177308632406703,199.09784168336677,162.05638276553108,189.83747695390784,0.016032064128249576,0.044418420096946236,0.04642544341943544,0.009242115354526792,0.0,0.08109718415300704,0.008268729625724667
7164.0,119.4,替钻井液(快),0.10152838318399955,0.10152838318399955,0.8372150964417903,0.11317102415734649,203.72802404809622,162.05638276553108,189.83747695390784,0.01803607214428077,0.04484814054421198,0.0521752430078446,0.010380792368051006,0.0,0.08207860995870807,0.008224614398086569
7168.0,119.46666666666667,替钻井液(快),0.10278238877462627,0.10278238877462627,0.845338324404306,0.11456883127826821,203.72802404809622,166.68656513026053,194.4676593186373,0.016032064128249576,0.04527613444163892,0.046331840816915285,0.009223567677622224,0.0,0.08306222709008264,0.008180790370066549
7172.0,119.53333333333333,替钻井液(快),0.1040362930513461,0.1040362930513461,0.8531885834025091,0.11596652546723688,208.35820641282567,166.68656513026053,194.4676593186373,0.01803607214428077,0.04570249533594862,0.052072693417168164,0.010360495150971039,0.0,0.08404804829981577,0.00813725273574273
7176.0,119.6,替钻井液(快),0.10529011421993363,0.10529011421993363,0.8607327885794285,0.11736412701775162,212.98838877755514,171.31674749499,199.09784168336677,0.01803607214428077,0.046127332052772814,0.05202317992991619,0.0103506950018456,0.0,0.08503602737511319,0.008094014929947373
