排量_m3min,屈服应力_Pa,黏度_mPas,全井有效顶替效率,耗时_s
0.4,23.0,90.0,0.945244,9.1
0.4,23.0,110.0,0.946755,9.4
0.4,23.0,130.0,0.947938,9.0
0.4,23.0,150.0,0.948869,9.2
0.4,23.0,170.0,0.949613,9.2
0.4,23.0,190.0,0.950209,9.1
0.4,23.0,210.0,0.950703,9.5
0.4,23.0,230.0,0.951116,9.1
0.4,23.0,250.0,0.951467,9.4
0.4,23.0,270.0,0.951769,9.2
0.4,23.0,290.0,0.952032,9.3
0.4,23.0,310.0,0.952261,9.2
0.4,23.0,330.0,0.952464,9.1
0.4,23.0,350.0,0.952645,9.3
0.4,25.0,50.0,0.943122,9.2
0.4,25.0,70.0,0.945028,9.4
0.4,25.0,90.0,0.946465,9.2
0.4,25.0,110.0,0.947687,9.3
0.4,25.0,130.0,0.948674,9.3
0.4,25.0,150.0,0.949474,9.2
0.4,25.0,170.0,0.950115,9.8
0.4,25.0,190.0,0.950642,9.4
0.4,25.0,210.0,0.951078,9.5
0.4,25.0,230.0,0.951446,9.3
0.4,25.0,250.0,0.951761,9.2
0.4,25.0,270.0,0.952033,9.2
0.4,25.0,290.0,0.95227,9.2
0.4,25.0,310.0,0.952479,9.5
0.4,25.0,330.0,0.952664,9.2
0.4,25.0,350.0,0.952829,9.2
0.5,5.0,50.0,0.655045,8.8
0.5,5.0,70.0,0.738626,8.8
0.5,5.0,90.0,0.803612,8.7
0.5,5.0,110.0,0.853341,8.6
0.5,5.0,130.0,0.892004,8.9
0.5,5.0,150.0,0.916206,8.7
0.5,5.0,170.0,0.929025,8.7
0.5,5.0,190.0,0.93595,9.2
0.5,5.0,210.0,0.940096,8.8
0.5,5.0,230.0,0.94283,9.0
0.5,5.0,250.0,0.944764,8.8
0.5,5.0,270.0,0.946204,8.8
0.5,5.0,290.0,0.947317,9.1
0.5,5.0,310.0,0.948201,8.8
0.5,5.0,330.0,0.948921,9.1
0.5,5.0,350.0,0.949517,8.9
0.5,7.0,50.0,0.714895,8.9
0.5,7.0,70.0,0.792783,8.9
0.5,7.0,90.0,0.850862,10.0
0.5,7.0,110.0,0.893584,9.2
0.5,7.0,130.0,0.917484,9.1
0.5,7.0,150.0,0.929747,9.2
0.5,7.0,170.0,0.936329,9.0
0.5,7.0,190.0,0.940319,9.5
0.5,7.0,210.0,0.942984,9.7
0.5,7.0,230.0,0.944885,9.0
0.5,7.0,250.0,0.946307,9.7
0.5,7.0,270.0,0.947408,8.9
0.5,7.0,290.0,0.948284,9.2
0.5,7.0,310.0,0.948998,9.3
0.5,7.0,330.0,0.94959,8.9
0.5,7.0,350.0,0.950088,9.0
0.5,9.0,50.0,0.778571,9.0
0.5,9.0,70.0,0.846909,9.3
0.5,9.0,90.0,0.893378,9.0
0.5,9.0,110.0,0.918145,9.1
0.5,9.0,130.0,0.930111,9.4
0.5,9.0,150.0,0.936508,9.3
0.5,9.0,170.0,0.940431,9.1
0.5,9.0,190.0,0.943071,9.0
0.5,9.0,210.0,0.944962,9.4
0.5,9.0,230.0,0.946379,9.1
0.5,9.0,250.0,0.947476,9.2
0.5,9.0,270.0,0.948351,9.3
0.5,9.0,290.0,0.949063,9.1
0.5,9.0,310.0,0.949653,9.1
0.5,9.0,330.0,0.95015,9.2
0.5,9.0,350.0,0.950573,9.2
0.5,11.0,50.0,0.840127,9.5
0.5,11.0,70.0,0.891605,9.2
0.5,11.0,90.0,0.918029,9.5
0.5,11.0,110.0,0.930069,9.2
0.5,11.0,130.0,0.936471,9.4
0.5,11.0,150.0,0.940417,9.3
0.5,11.0,170.0,0.94308,9.2
0.5,11.0,190.0,0.944987,9.4
0.5,11.0,210.0,0.946415,9.4
0.5,11.0,230.0,0.947521,9.8
0.5,11.0,250.0,0.9484,9.3
0.5,11.0,270.0,0.949115,9.5
0.5,11.0,290.0,0.949706,9.4
0.5,11.0,310.0,0.950203,9.3
0.5,11.0,330.0,0.950626,9.4
0.5,11.0,350.0,0.950991,9.3
0.5,13.0,50.0,0.889183,9.6
0.5,13.0,70.0,0.917058,9.2
0.5,13.0,90.0,0.929436,9.5
0.5,13.0,110.0,0.936131,9.4
0.5,13.0,130.0,0.94023,9.3
0.5,13.0,150.0,0.942985,9.5
0.5,13.0,170.0,0.944948,9.5
0.5,13.0,190.0,0.94641,9.6
0.5,13.0,210.0,0.947536,9.4
0.5,13.0,230.0,0.948428,9.3
0.5,13.0,250.0,0.949151,9.3
0.5,13.0,270.0,0.949747,9.5
0.5,13.0,290.0,0.950247,9.6
0.5,13.0,310.0,0.950672,9.3
0.5,13.0,330.0,0.951037,9.9
0.5,13.0,350.0,0.951354,9.6
0.5,15.0,50.0,0.915653,9.5
0.5,15.0,70.0,0.928299,9.3
0.5,15.0,90.0,0.935353,9.6
0.5,15.0,110.0,0.939799,9.7
0.5,15.0,130.0,0.942747,9.5
0.5,15.0,150.0,0.944818,9.0
0.5,15.0,170.0,0.946344,8.6
0.5,15.0,190.0,0.947511,8.6
0.5,15.0,210.0,0.948428,8.7
0.5,15.0,230.0,0.949166,8.6
0.5,15.0,250.0,0.949773,8.9
0.5,15.0,270.0,0.950279,8.7
0.5,15.0,290.0,0.950709,8.8
0.5,15.0,310.0,0.951077,8.8
0.5,15.0,330.0,0.951396,8.6
0.5,15.0,350.0,0.951674,8.5
0.5,17.0,50.0,0.926937,8.7
0.5,17.0,70.0,0.934337,8.7
0.5,17.0,90.0,0.939084,8.7
0.5,17.0,110.0,0.942306,8.7
0.5,17.0,130.0,0.944566,8.9
0.5,17.0,150.0,0.946199,8.6
0.5,17.0,170.0,0.947429,8.6
0.5,17.0,190.0,0.948388,8.8
0.5,17.0,210.0,0.949154,8.6
0.5,17.0,230.0,0.949778,8.9
0.5,17.0,250.0,0.950297,8.6
0.5,17.0,270.0,0.950734,8.6
0.5,17.0,290.0,0.951107,8.8
0.5,17.0,310.0,0.95143,8.6
0.5,17.0,330.0,0.951711,8.6
0.5,17.0,350.0,0.951958,8.6
0.5,19.0,50.0,0.933274,8.8
0.5,19.0,70.0,0.938294,8.8
0.5,19.0,90.0,0.941725,8.7
0.5,19.0,110.0,0.944165,8.8
0.5,19.0,130.0,0.945948,8.7
0.5,19.0,150.0,0.947278,8.6
0.5,19.0,170.0,0.948298,8.6
0.5,19.0,190.0,0.949104,8.8
0.5,19.0,210.0,0.949756,8.9
0.5,19.0,230.0,0.950294,8.6
0.5,19.0,250.0,0.950744,8.7
0.5,19.0,270.0,0.951126,8.9
0.5,19.0,290.0,0.951455,8.6
0.5,19.0,310.0,0.95174,8.7
0.5,19.0,330.0,0.95199,8.8
0.5,19.0,350.0,0.952212,8.6
0.5,21.0,50.0,0.937604,8.9
0.5,21.0,70.0,0.941149,8.6
0.5,21.0,90.0,0.943703,8.7
0.5,21.0,110.0,0.945599,8.7
0.5,21.0,130.0,0.947041,8.6
0.5,21.0,150.0,0.94815,8.6
0.5,21.0,170.0,0.94901,8.7
0.5,21.0,190.0,0.9497,8.7
0.5,21.0,210.0,0.950264,8.5
0.5,21.0,230.0,0.950733,8.7
0.5,21.0,250.0,0.951129,8.8
0.5,21.0,270.0,0.951467,8.6
0.5,21.0,290.0,0.95176,8.7
0.5,21.0,310.0,0.952015,8.6
0.5,21.0,330.0,0.952239,8.6
0.5,21.0,350.0,0.952439,8.9
0.5,23.0,50.0,0.940754,8.7
0.5,23.0,70.0,0.943326,8.7
0.5,23.0,90.0,0.945234,8.7
0.5,23.0,110.0,0.946747,8.7
0.5,23.0,130.0,0.947931,8.7
0.5,23.0,150.0,0.948863,8.6
0.5,23.0,170.0,0.949607,8.8
0.5,23.0,190.0,0.950204,8.9
0.5,23.0,210.0,0.950698,9.3
0.5,23.0,230.0,0.951112,8.8
0.5,23.0,250.0,0.951464,8.9
0.5,23.0,270.0,0.951766,8.7
0.5,23.0,290.0,0.952029,8.7
0.5,23.0,310.0,0.952259,8.6
0.5,23.0,330.0,0.952462,8.8
0.5,23.0,350.0,0.952643,8.6
0.5,25.0,50.0,0.943109,8.7
0.5,25.0,70.0,0.945018,9.0
0.5,25.0,90.0,0.946457,8.6
0.5,25.0,110.0,0.94768,8.5
0.5,25.0,130.0,0.948668,8.6
0.5,25.0,150.0,0.949468,8.7
0.5,25.0,170.0,0.950111,8.8
0.5,25.0,190.0,0.950638,8.6
0.5,25.0,210.0,0.951074,8.8
0.5,25.0,230.0,0.951443,8.7
0.5,25.0,250.0,0.951758,8.6
0.5,25.0,270.0,0.95203,8.5
0.5,25.0,290.0,0.952268,8.6
0.5,25.0,310.0,0.952477,8.8
0.5,25.0,330.0,0.952662,8.7
0.5,25.0,350.0,0.952827,8.6
0.6,5.0,50.0,0.65422,8.4
0.6,5.0,70.0,0.737649,8.3
0.6,5.0,90.0,0.802525,8.3
0.6,5.0,110.0,0.852275,8.2
0.6,5.0,130.0,0.89119,8.3
0.6,5.0,150.0,0.915794,8.4
0.6,5.0,170.0,0.928851,8.3
0.6,5.0,190.0,0.935867,8.2
0.6,5.0,210.0,0.940049,8.4
0.6,5.0,230.0,0.942799,8.2
0.6,5.0,250.0,0.944742,8.3
0.6,5.0,270.0,0.946187,8.2
0.6,5.0,290.0,0.947304,8.3
0.6,5.0,310.0,0.948191,8.7
0.6,5.0,330.0,0.948912,8.2
0.6,5.0,350.0,0.94951,8.3
0.6,7.0,50.0,0.713879,8.6
0.6,7.0,70.0,0.791597,8.2
0.6,7.0,90.0,0.849672,8.3
0.6,7.0,110.0,0.892809,8.2
0.6,7.0,130.0,0.917122,8.3
0.6,7.0,150.0,0.929601,8.4
0.6,7.0,170.0,0.93626,8.3
0.6,7.0,190.0,0.940279,8.2
0.6,7.0,210.0,0.942957,8.5
0.6,7.0,230.0,0.944865,8.2
0.6,7.0,250.0,0.946292,8.2
0.6,7.0,270.0,0.947396,8.1
0.6,7.0,290.0,0.948274,8.3
0.6,7.0,310.0,0.948989,8.4
0.6,7.0,330.0,0.949582,8.2
0.6,7.0,350.0,0.950082,8.3
0.6,9.0,50.0,0.777247,8.4
0.6,9.0,70.0,0.8457,8.2
0.6,9.0,90.0,0.892657,8.2
0.6,9.0,110.0,0.917828,8.4
0.6,9.0,130.0,0.929987,8.3
0.6,9.0,150.0,0.936449,8.5
0.6,9.0,170.0,0.940396,8.2
0.6,9.0,190.0,0.943047,8.2
0.6,9.0,210.0,0.944944,8.5
0.6,9.0,230.0,0.946364,8.2
0.6,9.0,250.0,0.947465,8.3
0.6,9.0,270.0,0.948341,8.3
0.6,9.0,290.0,0.949055,8.2
0.6,9.0,310.0,0.949646,8.4
0.6,9.0,330.0,0.950144,8.3
0.6,9.0,350.0,0.950568,8.2
0.6,11.0,50.0,0.838861,8.5
0.6,11.0,70.0,0.890922,8.2
0.6,11.0,90.0,0.917761,8.3
0.6,11.0,110.0,0.929965,8.3
0.6,11.0,130.0,0.936421,8.3
0.6,11.0,150.0,0.940386,8.4
0.6,11.0,170.0,0.943057,8.3
0.6,11.0,190.0,0.94497,8.3
0.6,11.0,210.0,0.946402,8.5
0.6,11.0,230.0,0.94751,8.3
0.6,11.0,250.0,0.948391,8.2
0.6,11.0,270.0,0.949107,8.2
0.6,11.0,290.0,0.949699,8.3
0.6,11.0,310.0,0.950197,9.0
0.6,11.0,330.0,0.950621,8.2
0.6,11.0,350.0,0.950986,8.3
0.6,13.0,50.0,0.888542,8.4
0.6,13.0,70.0,0.916845,8.3
0.6,13.0,90.0,0.929354,8.2
0.6,13.0,110.0,0.936087,8.2
0.6,13.0,130.0,0.940202,8.4
0.6,13.0,150.0,0.942965,8.4
0.6,13.0,170.0,0.944932,8.2
0.6,13.0,190.0,0.946397,8.4
0.6,13.0,210.0,0.947526,8.5
0.6,13.0,230.0,0.948419,8.2
0.6,13.0,250.0,0.949143,8.3
0.6,13.0,270.0,0.949741,8.2
0.6,13.0,290.0,0.950241,8.4
0.6,13.0,310.0,0.950667,8.3
0.6,13.0,330.0,0.951033,8.2
0.6,13.0,350.0,0.95135,8.4
0.6,15.0,50.0,0.915492,8.4
0.6,15.0,70.0,0.928238,8.2
0.6,15.0,90.0,0.935314,8.3
0.6,15.0,110.0,0.939773,8.2
0.6,15.0,130.0,0.942728,8.5
0.6,15.0,150.0,0.944803,8.4
0.6,15.0,170.0,0.946332,8.4
0.6,15.0,190.0,0.947501,8.5
0.6,15.0,210.0,0.948419,9.1
0.6,15.0,230.0,0.949159,9.3
0.6,15.0,250.0,0.949766,9.8
0.6,15.0,270.0,0.950274,8.3
0.6,15.0,290.0,0.950704,8.4
