井深_m,水泥平均浓度,前置液隔离液平均浓度,平均有效顶替效率,钻井液平均浓度,宽边有效效率,中线有效效率,窄边有效效率,宽边水泥浓度,中线水泥浓度,窄边水泥浓度,宽边前置液隔离液浓度,中线前置液隔离液浓度,窄边前置液隔离液浓度,环空间隙_m,偏心度指标,居中度
7590.670503597123,0.9871798206204986,0.0,0.9789396596279243,0.012820179379501672,0.9999999999991249,0.9999997788728806,0.009221208150173433,1.0,0.9999999999999858,0.15124169215248015,0.0,0.0,0.0,0.024116053577365227,0.5316227371017472,0.4683772628982528
7584.110071942446,0.988112297532223,0.0,0.9813213993313407,0.011887702467777025,0.9999999999966231,0.9999997236472794,0.04061351560232414,1.0,0.9999999999999931,0.26460357890083597,0.0,0.0,0.0,0.02598615894761671,0.4953019173689601,0.5046980826310399
7577.54964028777,0.9888996748289315,0.0,0.9821721068330732,0.011100325171068888,0.9999999999888227,0.9999996776218912,0.09982910220344395,0.9999999999999992,0.9999999999999964,0.3831540201348121,0.0,0.0,0.0,0.027836126367968294,0.45937221294964004,0.54062778705036
7570.989208633094,0.9889076988939017,0.0,0.9811108950704904,0.01109230110609825,0.9999999999728757,0.9999996415680606,0.15714209818488276,0.9999999999999963,0.9999999999999961,0.47556347660057885,0.0,0.0,0.0,0.0292996124027489,0.43094867420349525,0.5690513257965047
7564.428776978417,0.9831100563144155,0.0,0.9567158241708602,0.016889943685583886,0.9999999999935233,0.9999996853736132,0.08904429249946545,0.9999999999999968,0.9999999999911633,0.409446668626194,0.0,0.0,0.0,0.02690925530972524,0.47737372086331287,0.5226262791366871
7557.868345323741,0.9816836407555195,0.0,0.9583057498299214,0.018316359244480877,0.9999999999986048,0.9999997380331576,0.02273060491621896,0.9999999999999939,0.9999999999854454,0.2435971449353715,0.0,0.0,0.0,0.02471316984413223,0.5200256620760535,0.4799743379239465
7551.307913669065,0.9796212679801461,0.0,0.9615555938551679,0.020378732019853785,0.9999999999988992,0.9999997454949233,0.0037355341320923986,0.9999999999999876,0.9999999999855234,0.11281186192182732,0.0,0.0,0.0,0.02434237629720353,0.5272271416238434,0.4727728583761565
7544.747482014389,0.979205076168402,0.0,0.965818584330512,0.020794923831597797,0.9999999999992997,0.9999997949757323,0.0006085971341609562,0.9999999999999996,0.9999999999872896,0.051206855496707004,0.0,0.0,0.0,0.023877004482105203,0.5292076182939363,0.4707923817060638
7538.187050359712,0.982661349517119,0.0,0.9706161547431915,0.017338650482880993,0.9999999999993531,0.9999998255534084,0.0007173338585431356,1.0,0.9999999999905154,0.05597537971567687,0.0,0.0,0.0,0.023760772988018687,0.5249500719424454,0.4750499280575546
7531.626618705036,0.9848437509474497,0.0,0.9739738912318956,0.01515624905255021,0.9999999999987006,0.9999998037034592,0.003624278654180802,0.9999999999999422,0.999999999993362,0.11279268590900797,0.0,0.0,0.0,0.02462048899948171,0.5077617410071942,0.49223825899280577
7525.06618705036,0.9860085251493151,0.0,0.9761872184003593,0.01399147485068433,0.9999999999979506,0.9999997867048471,0.011271044850767667,0.9999999999998576,0.999999999995238,0.17978568449688373,0.0,0.0,0.0,0.025300058087742393,0.4941750935251803,0.5058249064748197
7518.505755395683,0.9867080407384835,0.0,0.9773893612457294,0.013291959261516823,0.9999999999970336,0.9999997708897616,0.024210338510213238,0.9999999999999462,0.9999999999966918,0.24433103354139485,0.0,0.0,0.0,0.025991236255762728,0.4803563453237397,0.5196436546762603
7511.945323741007,0.9863226922372473,0.0,0.9758537454264703,0.013677307762752736,0.9999999999943509,0.9999997483275841,0.03487980302823445,1.0,0.999999999997,0.2934361269482664,0.0,0.0,0.0,0.02692314216131808,0.4617247194244598,0.5382752805755402
7505.384892086331,0.9830376138124463,0.0,0.9638210571720349,0.016962386187553684,0.9999999999971155,0.9999997648397961,0.014660270590241348,0.999999999999957,0.9999999999962024,0.21690365504156203,0.0,0.0,0.0,0.02576829241072893,0.4848136690647471,0.5151863309352529
