depth_md_m,quality_proxy,quality_proxy_pct,simulated_effective_efficiency,simulated_minus_cbl_proxy
7030,0.963,96.3,0.9759232198528871,0.012923219852887136
7040,0.963,96.3,0.9758563173524678,0.012856317352467839
7050,0.956,95.6,0.9757885494855799,0.019788549485579954
7060,0.944,94.4,0.9757189354235397,0.03171893542353976
7070,0.941,94.1,0.9756469841762069,0.03464698417620693
7080,0.948,94.8,0.9755724904158384,0.027572490415838424
7090,0.952,95.2,0.9754957229665112,0.023495722966511257
7100,0.937,93.7,0.9754174380439323,0.03841743804393227
7110,0.959,95.9,0.9753387563327829,0.016338756332782922
7120,0.952,95.2,0.9752603524202661,0.02326035242026614
7130,0.963,96.3,0.9751815958031509,0.012181595803150924
7140,0.952,95.2,0.9751009951936531,0.023100995193653162
7150,0.956,95.6,0.9750171229719654,0.01901712297196545
7160,0.948,94.8,0.9749294712793506,0.026929471279350636
7170,0.956,95.6,0.9748386591187109,0.018838659118710965
7180,0.941,94.1,0.9747458312568418,0.03374583125684183
7190,0.922,92.2,0.9746511437610408,0.05265114376104074
7200,0.944,94.4,0.9745535814092434,0.03055358140924347
7210,0.937,93.7,0.9744520403451427,0.0374520403451426
7220,0.952,95.2,0.9743465325556093,0.022346532555609366
7230,0.959,95.9,0.9742398349568956,0.015239834956895626
7240,0.956,95.6,0.9741386839094567,0.01813868390945672
7250,0.956,95.6,0.9740529683631168,0.018052968363116872
7260,0.941,94.1,0.9739939960812446,0.03299399608124465
7270,0.956,95.6,0.9739741061651771,0.01797410616517714
7280,0.941,94.1,0.9740073733740271,0.03300737337402715
7290,0.956,95.6,0.9741145576022147,0.018114557602214698
7300,0.963,96.3,0.9743311044720201,0.011331104472020126
7310,0.956,95.6,0.974717377935917,0.01871737793591699
7320,0.963,96.3,0.9753612696852298,0.012361269685229881
7330,0.963,96.3,0.9763440452817906,0.013344045281790673
7340,0.959,95.9,0.9776265762793557,0.01862657627935571
7350,0.952,95.2,0.9788430491053377,0.026843049105337746
7360,0.937,93.7,0.9794287425180732,0.04242874251807316
7370,0.941,94.1,0.9790629546907434,0.0380629546907435
7380,0.952,95.2,0.9777450339252202,0.025745033925220207
7390,0.93,93.0,0.9756527306783827,0.0456527306783826
7400,0.944,94.4,0.9729500043502828,0.028950004350282832
7410,0.941,94.1,0.9663538688600586,0.025353868860058637
7420,0.952,95.2,0.9633184333894551,0.011318433389455151
7430,0.937,93.7,0.9623887685483642,0.025388768548364138
7440,0.944,94.4,0.9621346492363424,0.01813464923634245
7450,0.941,94.1,0.9619535996597335,0.020953599659733535
7460,0.948,94.8,0.961730278819965,0.013730278819965025
7470,0.948,94.8,0.9614576616464954,0.013457661646495422
7480,0.948,94.8,0.961134892755269,0.013134892755269023
7490,0.956,95.6,0.9607639357546778,0.004763935754677817
7500,0.937,93.7,0.9603470719789676,0.02334707197896757
7510,0.952,95.2,0.9598865622080333,0.007886562208033299
7520,0.959,95.9,0.9593827838703284,0.0003827838703284181
7530,0.933,93.3,0.9588358443245673,0.025835844324567203
7540,0.956,95.6,0.958242452826752,0.0022424528267520616
7550,0.959,95.9,0.9575975156237568,-0.0014024843762431294
7560,0.944,94.4,0.9568952184142923,0.012895218414292309
7570,0.944,94.4,0.9561364238340003,0.012136423834000376
7580,0.948,94.8,0.955319407030095,0.007319407030095038
7590,0.944,94.4,0.9544381241177083,0.010438124117708392
7600,0.919,91.9,0.9534856619975917,0.03448566199759162
7610,0.919,91.9,0.9524513029934235,0.03345130299342347
7620,0.944,94.4,0.9513163311033201,0.007316331103320195
7630,0.941,94.1,0.950102200041219,0.009102200041219088
7640,0.933,93.3,0.9488312947865818,0.01583129478658174
7650,0.948,94.8,0.9475143992104059,-0.00048560078959403175
7660,0.922,92.2,0.9461562223453286,0.02415622234532855
7670,0.933,93.3,0.9447506897910907,0.011750689791090618
7680,0.911,91.1,0.9432647784533021,0.03226477845330211
7690,0.915,91.5,0.9417350538894876,0.026735053889487603
7700,0.937,93.7,0.9402484722606526,0.003248472260652502
7710,0.948,94.8,0.9389853388027992,-0.009014661197200735
7720,0.941,94.1,0.9381639636329567,-0.0028360363670432154
7730,0.959,95.9,0.9378265291965419,-0.021173470803458105
7740,0.959,95.9,0.9413684118426983,-0.017631588157301703
7750,0.944,94.4,0.9464420172637897,0.0024420172637897863
7760,0.948,94.8,0.9527776221052101,0.004777622105210155
7770,0.963,96.3,0.9816356862412023,0.018635686241202376
7780,0.959,95.9,0.9956584785260546,0.03665847852605464
