井深_m,balance_平均浓度,spacer_平均浓度,lead_平均浓度,tail_平均浓度,mud_平均浓度
7091.494989979959,7.825139219526451e-06,1.9223405537677734e-06,0.08670621483961095,0.8953303088798295,0.017953728800786273
7086.549098196393,7.718420146941194e-06,1.8964782521710507e-06,0.08717128062331173,0.8949115210041613,0.01790758347412791
7081.603206412826,7.613802888701057e-06,1.8711219614891585e-06,0.08763555837793707,0.8944930383009898,0.017861918396222976
7076.6573146292585,7.511228296574381e-06,1.8462574980867777e-06,0.08809897269250887,0.8940748024473418,0.017816867374354617
7071.711422845691,7.41063933345142e-06,1.821871181388515e-06,0.08856145923226173,0.8936567828004852,0.017772525456738242
7066.765531062124,7.311981070577457e-06,1.797949834495583e-06,0.08902296885309106,0.8932389836432321,0.01772893757277183
7061.819639278558,7.215200591155829e-06,1.7744807614513827e-06,0.08948346840422414,0.8928214401523272,0.017686101762096063
7056.87374749499,7.120246859414412e-06,1.7514517159432406e-06,0.08994293789523014,0.8924042066155586,0.01764398379063592
7051.927855711423,7.02707059555601e-06,1.728850871416767e-06,0.09040136566939064,0.8919873432689088,0.017602535140233577
7046.981963927856,6.935624178988112e-06,1.7066667980584264e-06,0.09085874354150962,0.8915709066288153,0.017561707538698013
7042.0360721442885,6.845861585488963e-06,1.684888447971932e-06,0.09131506387648725,0.8911549468389489,0.017521458534530354
7037.090180360721,6.757738350545751e-06,1.6635051466114806e-06,0.0917703193669524,0.8907395120008809,0.01748174738866959
7032.144288577154,6.671211544429709e-06,1.6425065869594265e-06,0.09222450518660326,0.8903246569958323,0.017442524099433032
7027.198396793587,6.5862397406759944e-06,1.621882821998522e-06,0.09267762299002366,0.889910453662862,0.01740371522455164
7022.25250501002,6.5027829601582815e-06,1.6016242511276583e-06,0.09312968525001572,0.8894969972163199,0.017365213126453116
7017.306613226453,6.420802583925888e-06,1.5817215988565335e-06,0.09358071741967854,0.8890844038998241,0.017326876156314563
7012.360721442886,6.340261245340564e-06,1.562165888417671e-06,0.09403075605431949,0.8886727991040769,0.017288542414469865
7007.4148296593185,6.261122724961119e-06,1.5429484161499354e-06,0.09447984304215795,0.8882623001180744,0.017250052768626567
