rate_m3_min,pv_mpa_s,yp_pa,n_fit,k_fit,effective_efficiency,cbl_eval_interval_efficiency,cbl_quality_proxy,target_interval_efficiency,channeling_index,mixing_index,instability_index,scenario_type
1.3,80.0,30.0,0.656953416854445,1.1781954582125806,0.7410517263031297,0.7386241399866782,0.6775841173421427,0.9682495183693616,0.9712230215816688,0.14821616332756443,0.9948033903365658,factorial_3x3x3
1.3,100.0,15.0,0.8262503929145565,0.38226772028391753,0.7058054755282892,0.7022466025819236,0.6468140597074965,0.9561557749100354,0.8992805755385822,0.15605631295897973,0.9924375197334413,factorial_3x3x3
1.3,100.0,22.0,0.7647218622680442,0.6204813072728234,0.7296451804643681,0.7269794592404024,0.6668730439588912,0.9657266889808357,0.9712230215816688,0.1493476164465919,0.9948150552184923,factorial_3x3x3
1.3,100.0,30.0,0.7049483572904187,0.9993646649621744,0.7318155590928896,0.7280793642123597,0.667663388506826,0.97294976933886,0.96402877697736,0.16931722130686316,0.9948170823539678,factorial_3x3x3
1.6,60.0,15.0,0.74113031178081,0.4489966296271504,0.6382468295640178,0.6306930981587968,0.5787512658628119,0.9261402853591351,0.9856115107902861,0.11736818502174601,0.9948845746695131,factorial_3x3x3
1.6,60.0,22.0,0.661955317994584,0.8484519195493819,0.6805403677177831,0.675823397912632,0.6212304729094469,0.9442302548146917,0.9568345323730514,0.11768617536233106,0.9940364414589106,factorial_3x3x3
1.6,60.0,30.0,0.5901853616005307,1.529086442385996,0.6694920759477593,0.6626793410832521,0.6092132514624876,0.9558146732532855,0.9424460431644341,0.13763082293947632,0.9938018432349012,factorial_3x3x3
1.6,80.0,15.0,0.7920787485704619,0.3999205861368383,0.6516556294250071,0.6443628174983211,0.5916038827368084,0.9404102068037363,0.9712230215816688,0.1263754103800931,0.9945730059984663,factorial_3x3x3
1.6,80.0,22.0,0.7225772619930931,0.6941753288543463,0.6864440793731514,0.6815785317532869,0.6294038892730174,0.953800328911909,0.8705035971213476,0.13358053280406548,0.9907971255617488,factorial_3x3x3
1.6,80.0,30.0,0.656953416854445,1.1781954582125806,0.677034198846725,0.6697001618173551,0.6143942752253023,0.9627761911905715,0.9712230215816688,0.14658003256499413,0.994786475978703,factorial_3x3x3
1.6,100.0,15.0,0.8262503929145565,0.38226772028391753,0.699431025758311,0.6962845599228854,0.6477210455618935,0.9519220697504407,0.7625899280567177,0.11239817844281602,0.9829911069292414,factorial_3x3x3
1.6,100.0,22.0,0.7647218622680442,0.6204813072728234,0.6981380667195264,0.6939300065856687,0.6377426335261368,0.9617788298465813,0.9424460431644341,0.1458758375617843,0.9938995572945337,factorial_3x3x3
1.6,100.0,30.0,0.7049483572904187,0.9993646649621744,0.702428117585271,0.6969163343888366,0.6391422800093685,0.9698678511480456,0.9712230215816688,0.15564772477770006,0.9948795299303674,factorial_3x3x3
